id,slug,name,version,japanese_name,voice_actor,release_date,birthday,height_cm,three_sizes,rarity,image,base_speed_1,base_stamina_1,base_power_1,base_guts_1,base_wit_1,base_speed_5,base_stamina_5,base_power_5,base_guts_5,base_wit_5,bonus_speed,bonus_stamina,bonus_power,bonus_guts,bonus_wit,turf,dirt,short,mile,medium,long,front,pace,late,end,description,unique_skill_ids,innate_skill_ids,event_skill_ids,awakening_lvl2_skill_id,awakening_lvl2_highlight,awakening_lvl2_items,awakening_lvl3_skill_id,awakening_lvl3_highlight,awakening_lvl3_items,awakening_lvl4_skill_id,awakening_lvl4_highlight,awakening_lvl4_items,awakening_lvl5_skill_id,awakening_lvl5_highlight,awakening_lvl5_items,card_id,char_id,gametora_url_name
11,vodka-wild-top-gear,Vodka,Wild Top Gear,ウオッカ,Ayaka Oohashi,2025-06-26,April 4,165 cm,76 - 55 - 78,2,vodka-wild-top-gear.png,96,61,105,75,88,124,79,136,97,114,10,0,20,0,0,A,G,F,A,A,F,C,B,A,F,Vodka — Wild Top Gear.,xceleration|cut_and_drive,straightaway_recovery|updrafters|slick_surge,shifting_gears|all_i_ve_got|slick_surge|pedal_to_the_metal|nimble_navigator,straightaway_acceleration,no,mile_racing_shoes,breath_of_fresh_air,yes,mile_racing_shoes|japanese_derby_winner_s_sash|yasuda_kinen_winner_s_sash,mile_straightaways_o,no,mile_racing_shoes|victoria_mile_winner_s_sash|japanese_derby_winner_s_sash|yasuda_kinen_winner_s_sash|hanshin_j_f_winner_s_sash|dream_glimmer,furious_feat,yes,mile_racing_shoes|victoria_mile_winner_s_sash|japanese_derby_winner_s_sash|yasuda_kinen_winner_s_sash|hanshin_j_f_winner_s_sash|dream_glimmer,100801,1008,100801-vodka
12,daiwa-scarlet-top-of-blue,Daiwa Scarlet,Top of Blue,ダイワスカーレット,Chisa Kimura,2025-06-26,May 13,163 cm,90 - 56 - 82,2,daiwa-scarlet-top-of-blue.png,84,77,79,95,90,109,99,103,122,117,10,0,0,20,0,A,G,F,A,A,B,A,A,E,G,Daiwa Scarlet — Top of Blue.,red_ace|resplendent_red_ace,competitive_spirit_o|up_tempo|preferred_position,unyielding_spirit|shifting_gears|head_on|nimble_navigator|steadfast,stamina_to_spare,no,medium_racing_shoes,killer_tunes,yes,medium_racing_shoes|oka_sho_winner_s_sash|arima_kinen_winner_s_sash,prepared_to_pass,no,medium_racing_shoes|oka_sho_winner_s_sash|shuka_sho_winner_s_sash|queen_elizabeth_ii_cup_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,race_planner,yes,medium_racing_shoes|oka_sho_winner_s_sash|shuka_sho_winner_s_sash|queen_elizabeth_ii_cup_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,100901,1009,100901-daiwa-scarlet
13,taiki-shuttle-wild-frontier,Taiki Shuttle,Wild Frontier,タイキシャトル,Yuka Ootsubo,2025-06-26,March 23,172 cm,94 - 59 - 90,3,taiki-shuttle-wild-frontier.png,96,71,98,93,92,118,87,119,113,113,20,0,0,0,10,A,B,A,A,E,G,C,A,E,G,Taiki Shuttle — Wild Frontier.,shooting_for_victory,straightaway_adept|shifting_gears|pace_chaser_savvy_o,prepared_to_pass|all_i_ve_got|no_looking_back|head_on,productive_plan,no,mile_racing_shoes,changing_gears,yes,mile_racing_shoes|sprinters_s_winner_s_sash|mile_ch_winner_s_sash,mile_straightaways_o,no,mile_racing_shoes|nhk_mile_c_winner_s_sash|yasuda_kinen_winner_s_sash|sprinters_s_winner_s_sash|mile_ch_winner_s_sash|dream_glimmer,mile_maven,yes,mile_racing_shoes|nhk_mile_c_winner_s_sash|yasuda_kinen_winner_s_sash|sprinters_s_winner_s_sash|mile_ch_winner_s_sash|dream_glimmer,101001,1010,101001-taiki-shuttle
14,grass-wonder-rock-piercing-blue,Grass Wonder,Rock-piercing Blue,グラスワンダー,Rena Maeda,2025-06-26,February 18,152 cm,77 - 53 - 84,2,grass-wonder-rock-piercing-blue.png,91,70,99,74,91,118,91,129,96,116,20,0,10,0,0,A,G,G,A,B,A,F,A,A,F,Grass Wonder — Rock-piercing Blue.,focused_mind|where_there_s_a_will_there_s_a_way,flustered_pace_chasers|tether|slick_surge,competitive_spirit_o|1_500_000_cc|be_still|up_tempo,homestretch_haste,no,medium_racing_shoes,dominator,yes,medium_racing_shoes|takarazuka_kinen_winner_s_sash|arima_kinen_winner_s_sash,position_pilfer,no,medium_racing_shoes|takarazuka_kinen_winner_s_sash|japan_cup_winner_s_sash|asahi_hai_f_s_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,on_your_left,yes,medium_racing_shoes|takarazuka_kinen_winner_s_sash|japan_cup_winner_s_sash|asahi_hai_f_s_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101101,1011,101101-grass-wonder
15,grass-wonder-saint-jade-healer,Grass Wonder,Saint Jade Healer,グラスワンダー,Rena Maeda,2025-09-21,February 18,152 cm,77 - 53 - 84,3,grass-wonder-saint-jade-healer.png,91,83,97,79,100,111,101,119,96,123,0,15,0,0,15,A,G,G,A,B,A,F,A,A,F,Grass Wonder — Saint Jade Healer.,superior_heal,pace_strategy|deep_breaths|a_small_breather,competitive_spirit_o|1_500_000_cc|be_still|sharp_gaze|up_tempo,trick_front,no,medium_racing_shoes,cooldown,yes,medium_racing_shoes|takarazuka_kinen_winner_s_sash|arima_kinen_winner_s_sash,late_surger_savvy_o,no,medium_racing_shoes|yasuda_kinen_winner_s_sash|takarazuka_kinen_winner_s_sash|asahi_hai_f_s_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,relax,yes,medium_racing_shoes|yasuda_kinen_winner_s_sash|takarazuka_kinen_winner_s_sash|asahi_hai_f_s_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101102,1011,101102-grass-wonder
16,hishi-amazon-amazoness-lapis,Hishi Amazon,Amazoness Lapis,ヒシアマゾン,Yuiko Tatsumi,2025-09-17,March 26,160 cm,92 - 59 - 89,3,hishi-amazon-amazoness-lapis.png,93,84,105,82,86,113,103,129,100,105,0,0,20,10,0,A,E,D,A,A,B,G,B,C,A,Hishi Amazon — Amazoness Lapis.,you_and_me_one_on_one,go_with_the_flow|masterful_gambit|steadfast,homestretch_haste|steadfast,end_closer_straightaways_o,no,medium_racing_shoes,unyielding,yes,medium_racing_shoes|japan_cup_winner_s_sash|hanshin_j_f_winner_s_sash,end_closer_corners_o,no,medium_racing_shoes|japanese_oaks_winner_s_sash|japan_cup_winner_s_sash|hanshin_j_f_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,sturm_und_drang,yes,medium_racing_shoes|japanese_oaks_winner_s_sash|japan_cup_winner_s_sash|hanshin_j_f_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101201,1012,101201-hishi-amazon
17,mejiro-mcqueen-elegance-line,Mejiro McQueen,Elegance Line,メジロマックイーン,Saori Oonishi,2025-06-26,April 3,159 cm,71 - 54 - 76,3,mejiro-mcqueen-elegance-line.png,71,111,71,103,94,87,136,87,125,115,0,20,0,0,10,A,E,G,F,A,A,B,A,D,F,Mejiro McQueen — Elegance Line.,the_duty_of_dignity_calls,spring_runner_o|stamina_to_spare|keeping_the_lead,early_lead,long_corners_o,no,long_racing_shoes,vanguard_spirit,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash,hydrate,no,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash|kikuka_sho_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,calm_and_collected,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash|kikuka_sho_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,101301,1013,101301-mejiro-mcqueen
18,mejiro-mcqueen-end-of-sky,Mejiro McQueen,End of Sky,メジロマックイーン,Saori Oonishi,2025-07-16,April 3,159 cm,71 - 54 - 76,3,mejiro-mcqueen-end-of-sky.png,74,110,72,108,86,90,134,89,132,105,0,10,10,0,10,A,E,G,F,A,A,B,A,D,F,Mejiro McQueen — End of Sky.,legacy_of_the_strong,straightaway_adept|stamina_to_spare|deep_breaths,early_lead|calm_in_a_crowd|prudent_positioning,fall_runner_o,no,long_racing_shoes,cooldown,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash,ramp_up,no,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash|kikuka_sho_winner_s_sash|osaka_hai_winner_s_sash|dream_glimmer,beeline_burst,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash|kikuka_sho_winner_s_sash|osaka_hai_winner_s_sash|dream_glimmer,101302,1013,101302-mejiro-mcqueen
19,el-condor-pasa-el-numero-1,El Condor Pasa,El ☆ Numero 1,エルコンドルパサー,Minami Takahashi,2025-06-26,March 17,163 cm,89 - 58 - 86,2,el-condor-pasa-el-numero-1.png,85,76,80,93,91,110,98,103,121,118,20,0,0,0,10,A,B,F,A,A,B,E,A,A,C,El Condor Pasa — El ☆ Numero 1.,coraz_n_ardiente|victoria_por_plancha,straightaway_adept|hawkeye|pace_chaser_straightaways_o,soft_step|wet_conditions_o,stamina_to_spare,no,medium_racing_shoes,clairvoyance,yes,medium_racing_shoes|nhk_mile_c_winner_s_sash|japan_cup_winner_s_sash,up_tempo,no,medium_racing_shoes|nhk_mile_c_winner_s_sash|japanese_derby_winner_s_sash|japan_cup_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,calm_and_collected,yes,medium_racing_shoes|nhk_mile_c_winner_s_sash|japanese_derby_winner_s_sash|japan_cup_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101401,1014,101401-el-condor-pasa
20,el-condor-pasa-kukulkan-monk,El Condor Pasa,Kukulkan Monk,エルコンドルパサー,Minami Takahashi,2025-09-21,March 17,163 cm,89 - 58 - 86,3,el-condor-pasa-kukulkan-monk.png,100,75,91,97,87,122,91,112,119,106,15,0,0,15,0,A,B,F,A,A,B,E,A,A,C,El Condor Pasa — Kukulkan Monk.,condor_s_fury,homestretch_haste|updrafters|outer_swell,soft_step|wet_conditions_o|calm_in_a_crowd|go_with_the_flow,unyielding_spirit,no,medium_racing_shoes,furious_feat,yes,medium_racing_shoes|nhk_mile_c_winner_s_sash|japan_cup_winner_s_sash,1_500_000_cc,no,medium_racing_shoes|nhk_mile_c_winner_s_sash|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash|japan_cup_winner_s_sash|dream_glimmer,rising_dragon,yes,medium_racing_shoes|nhk_mile_c_winner_s_sash|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash|japan_cup_winner_s_sash|dream_glimmer,101402,1014,101402-el-condor-pasa
21,tm-opera-o-o-sole-so,TM Opera O,O Sole So,テイエムオペラオー,Sora Tokui,2025-06-26,March 13,156 cm,76 - 55 - 80,3,tm-opera-o-o-sole-so.png,75,108,75,102,90,91,132,91,125,111,0,20,0,0,10,A,E,G,E,A,A,C,A,A,G,TM Opera O — O Sole So.,this_dance_is_for_vittoria,prepared_to_pass|up_tempo|non_standard_distance_o,non_standard_distance_o,straightaway_adept,no,long_racing_shoes,speed_star,yes,long_racing_shoes|takarazuka_kinen_winner_s_sash|tenno_sho_spring_winner_s_sash,stamina_to_spare,no,long_racing_shoes|takarazuka_kinen_winner_s_sash|tenno_sho_spring_winner_s_sash|satsuki_sho_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,killer_tunes,yes,long_racing_shoes|takarazuka_kinen_winner_s_sash|tenno_sho_spring_winner_s_sash|satsuki_sho_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101501,1015,101501-tm-opera-o
22,narita-brian-maverick,Narita Brian,Maverick,ナリタブライアン,Rika Kinugawa,2025-08-20,May 3,160 cm,91 - 58 - 85,3,narita-brian-maverick.png,93,89,100,89,79,113,109,122,108,98,10,20,0,0,0,A,G,F,B,A,A,G,A,A,D,Narita Brian — Maverick.,shadow_break,straightaway_adept|medium_straightaways_o|preferred_position,passing_pro,homestretch_haste,no,long_racing_shoes,beeline_burst,yes,long_racing_shoes|kikuka_sho_winner_s_sash|arima_kinen_winner_s_sash,lone_wolf,no,long_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|kikuka_sho_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,in_body_and_mind,yes,long_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|kikuka_sho_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101601,1016,101601-narita-brian
23,symboli-rudolf-road-of-emperor,Symboli Rudolf,Road of Emperor,シンボリルドルフ,Azusa Tadokoro,2025-06-26,March 13,165 cm,86 - 59 - 85,3,symboli-rudolf-road-of-emperor.png,86,91,83,96,94,106,111,101,118,114,0,20,0,10,0,A,G,E,C,A,A,B,A,A,C,Symboli Rudolf — Road of Emperor.,behold_thine_emperor_s_divine_might,corner_adept_o|tether|preferred_position,rainy_days_o|be_still,subdued_late_surgers,no,medium_racing_shoes,dominator,yes,medium_racing_shoes|satsuki_sho_winner_s_sash|arima_kinen_winner_s_sash,pace_chaser_corners_o,no,medium_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|kikuka_sho_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,professor_of_curvature,yes,medium_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|kikuka_sho_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,101701,1017,101701-symboli-rudolf
24,air-groove-empress-road,Air Groove,Empress Road,エアグルーヴ,Ruriko Aoki,2025-06-26,April 6,165 cm,90 - 57 - 86,2,air-groove-empress-road.png,86,81,81,86,91,111,105,105,112,117,10,0,20,0,0,A,G,C,B,A,E,D,A,A,G,Air Groove — Empress Road.,empress_s_pride|blazing_pride,go_with_the_flow|up_tempo|disorient,homestretch_haste,hesitant_end_closers,no,medium_racing_shoes,dazzling_disorientation,yes,medium_racing_shoes|japanese_oaks_winner_s_sash|tenno_sho_autumn_winner_s_sash,flustered_end_closers,no,medium_racing_shoes|japanese_oaks_winner_s_sash|shuka_sho_winner_s_sash|tenno_sho_autumn_winner_s_sash|hanshin_j_f_winner_s_sash|dream_glimmer,lane_legerdemain,yes,medium_racing_shoes|japanese_oaks_winner_s_sash|shuka_sho_winner_s_sash|tenno_sho_autumn_winner_s_sash|hanshin_j_f_winner_s_sash|dream_glimmer,101801,1018,101801-air-groove
25,air-groove-quercus-civilis,Air Groove,Quercus Civilis,エアグルーヴ,Ruriko Aoki,2025-08-28,April 6,165 cm,90 - 57 - 86,3,air-groove-quercus-civilis.png,94,82,91,88,95,115,100,111,107,117,10,0,10,10,0,A,G,C,B,A,E,D,A,A,G,Air Groove — Quercus Civilis.,eternal_moments,corner_acceleration_o|unyielding_spirit|pace_chaser_corners_o,homestretch_haste|go_with_the_flow|up_tempo,pace_chaser_savvy_o,no,medium_racing_shoes,big_sisterly,yes,medium_racing_shoes|japanese_oaks_winner_s_sash|queen_elizabeth_ii_cup_winner_s_sash,ramp_up,no,medium_racing_shoes|japanese_oaks_winner_s_sash|queen_elizabeth_ii_cup_winner_s_sash|hanshin_j_f_winner_s_sash|victoria_mile_winner_s_sash|dream_glimmer,corner_connoisseur,yes,medium_racing_shoes|japanese_oaks_winner_s_sash|queen_elizabeth_ii_cup_winner_s_sash|hanshin_j_f_winner_s_sash|victoria_mile_winner_s_sash|dream_glimmer,101802,1018,101802-air-groove
26,agnes-digital-super-express-full-color-special,Agnes Digital,Super Express! Full Color Special,アグネスデジタル,Minori Suzuki,2025-11-19,May 15,143 cm,74 - 51 - 75,3,agnes-digital-super-express-full-color-special.png,85,91,83,100,91,104,111,101,122,112,8,8,7,0,7,A,A,F,A,A,G,G,A,A,B,Agnes Digital — Super Express! Full Color Special.,omg_the_final_sprint,uma_stan|forward_march|late_surger_straightaways_o,top_pick|acceleration|homestretch_haste|kyoto_racecourse_o|mile_corners_o|updrafters|unyielding_spirit|morioka_racecourse_o|rapid_gain,wet_conditions_o,no,mile_racing_shoes,superstan,yes,mile_racing_shoes|february_s_winner_s_sash|tenno_sho_autumn_winner_s_sash,medium_straightaways_o,no,mile_racing_shoes|february_s_winner_s_sash|yasuda_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|mile_ch_winner_s_sash|dream_glimmer,lead_the_charge,yes,mile_racing_shoes|february_s_winner_s_sash|yasuda_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|mile_ch_winner_s_sash|dream_glimmer,101901,1019,101901-agnes-digital
