character_slug,sort_order,race_slug,requirement,turn
mejiro-mcqueen-end-of-sky,7,tenno_sho_autumn,Place 1st in,68
el-condor-pasa-el-numero-1,1,junior_make_debut,Participate in,12
el-condor-pasa-el-numero-1,2,tokinominoru_kinen,Place 5th or better in,27
el-condor-pasa-el-numero-1,3,nhk_mile_cup,Place 5th or better in,33
el-condor-pasa-el-numero-1,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
el-condor-pasa-el-numero-1,5,mainichi_okan,Place 3rd or better in,43
el-condor-pasa-el-numero-1,6,takarazuka_kinen,Place 1st in,60
el-condor-pasa-el-numero-1,7,japan_cup,Place 1st in,70
el-condor-pasa-el-numero-1,8,arima_kinen,Place 1st in,72
el-condor-pasa-kukulkan-monk,1,junior_make_debut,Participate in,12
el-condor-pasa-kukulkan-monk,2,tokinominoru_kinen,Place 5th or better in,27
el-condor-pasa-kukulkan-monk,3,nhk_mile_cup,Place 5th or better in,33
el-condor-pasa-kukulkan-monk,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
el-condor-pasa-kukulkan-monk,5,mainichi_okan,Place 3rd or better in,43
el-condor-pasa-kukulkan-monk,6,takarazuka_kinen,Place 1st in,60
el-condor-pasa-kukulkan-monk,7,japan_cup,Place 1st in,70
el-condor-pasa-kukulkan-monk,8,arima_kinen,Place 1st in,72
tm-opera-o-o-sole-so,1,junior_make_debut,Participate in,12
tm-opera-o-o-sole-so,2,,Have at least 5000 fans,28
tm-opera-o-o-sole-so,3,satsuki_sho,Place 5th or better in,31
tm-opera-o-o-sole-so,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
tm-opera-o-o-sole-so,5,arima_kinen,Place 3rd or better in,48
tm-opera-o-o-sole-so,6,tenno_sho_spring,Place 3rd or better in,56
tm-opera-o-o-sole-so,7,takarazuka_kinen,Place 3rd or better in,60
tm-opera-o-o-sole-so,8,japan_cup,Place 2nd or better in,70
tm-opera-o-o-sole-so,9,arima_kinen,Place 1st in,72
narita-brian-maverick,1,junior_make_debut,Participate in,12
narita-brian-maverick,2,asahi_hai_futurity_stakes,Place 5th or better in,23
narita-brian-maverick,3,satsuki_sho,Place 5th or better in,31
narita-brian-maverick,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
narita-brian-maverick,5,kikuka_sho,Place 3rd or better in,44
narita-brian-maverick,6,arima_kinen,Place 3rd or better in,48
narita-brian-maverick,7,hanshin_daishoten,Place 1st in,54
narita-brian-maverick,8,tenno_sho_spring,Place 1st in,56
narita-brian-maverick,9,tenno_sho_autumn,Place 1st in,68
narita-brian-maverick,10,japan_cup,Place 1st in,70
narita-brian-maverick,11,arima_kinen,Place 1st in,72
symboli-rudolf-road-of-emperor,1,junior_make_debut,Participate in,12
symboli-rudolf-road-of-emperor,2,saudi_arabia_royal_cup,Place 5th or better in,19
symboli-rudolf-road-of-emperor,3,satsuki_sho,Place 5th or better in,31
symboli-rudolf-road-of-emperor,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
symboli-rudolf-road-of-emperor,5,kikuka_sho,Place 3rd or better in,44
symboli-rudolf-road-of-emperor,6,arima_kinen,Place 3rd or better in,48
symboli-rudolf-road-of-emperor,7,tenno_sho_spring,Place 3rd or better in,56
symboli-rudolf-road-of-emperor,8,japan_cup,Place 2nd or better in,70
symboli-rudolf-road-of-emperor,9,arima_kinen,Place 1st in,72
air-groove-empress-road,1,junior_make_debut,Participate in,12
air-groove-empress-road,2,hanshin_juvenile_fillies,Place 5th or better in,23
air-groove-empress-road,3,oka_sho,Place 5th or better in,31
air-groove-empress-road,4,oaks,Place 5th or better in,34
air-groove-empress-road,5,shuuka_sho,Place 3rd or better in,44
air-groove-empress-road,6,osaka_hai,Place 3rd or better in,54
air-groove-empress-road,7,takarazuka_kinen,Place 3rd or better in,60
air-groove-empress-road,8,sapporo_kinen,Place 1st in,64
air-groove-empress-road,9,tenno_sho_autumn,Place 1st in,68
air-groove-quercus-civilis,1,junior_make_debut,Participate in,12
air-groove-quercus-civilis,2,hanshin_juvenile_fillies,Place 5th or better in,23
air-groove-quercus-civilis,3,oka_sho,Place 5th or better in,31
air-groove-quercus-civilis,4,oaks,Place 5th or better in,34
air-groove-quercus-civilis,5,shuuka_sho,Place 3rd or better in,44
air-groove-quercus-civilis,6,osaka_hai,Place 3rd or better in,54
air-groove-quercus-civilis,7,takarazuka_kinen,Place 3rd or better in,60
air-groove-quercus-civilis,8,sapporo_kinen,Place 1st in,64
air-groove-quercus-civilis,9,tenno_sho_autumn,Place 1st in,68
agnes-digital-super-express-full-color-special,1,junior_make_debut,Participate in,12
agnes-digital-super-express-full-color-special,2,hyacinth_stakes,Place 3rd or better in,28
agnes-digital-super-express-full-color-special,3,nhk_mile_cup,Place 5th or better in,33
agnes-digital-super-express-full-color-special,4,japan_dirt_derby,Place 5th or better in,37
agnes-digital-super-express-full-color-special,5,mile_championship,Place 3rd or better in,46
agnes-digital-super-express-full-color-special,6,,Place 3rd or better in 3 G1 races,60
agnes-digital-super-express-full-color-special,7,tenno_sho_autumn,Place 1st in,68
seiun-sky-blue-cloud-thumbing,1,junior_make_debut,Participate in,12
seiun-sky-blue-cloud-thumbing,2,,Have at least 3000 fans,25
seiun-sky-blue-cloud-thumbing,3,satsuki_sho,Place 5th or better in,31
seiun-sky-blue-cloud-thumbing,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
seiun-sky-blue-cloud-thumbing,5,kikuka_sho,Place 3rd or better in,44
seiun-sky-blue-cloud-thumbing,6,arima_kinen,Place 3rd or better in,48
seiun-sky-blue-cloud-thumbing,7,tenno_sho_spring,Place 3rd or better in,56
seiun-sky-blue-cloud-thumbing,8,takarazuka_kinen,Place 3rd or better in,60
seiun-sky-blue-cloud-thumbing,9,tenno_sho_autumn,Place 1st in,68
seiun-sky-blue-cloud-thumbing,10,arima_kinen,Place 1st in,72
biwa-hayahide-pf-victory-formula,1,junior_make_debut,Participate in,12
biwa-hayahide-pf-victory-formula,2,asahi_hai_futurity_stakes,Place 5th or better in,23
biwa-hayahide-pf-victory-formula,3,satsuki_sho,Place 5th or better in,31
biwa-hayahide-pf-victory-formula,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
biwa-hayahide-pf-victory-formula,5,kikuka_sho,Place 3rd or better in,44
biwa-hayahide-pf-victory-formula,6,tenno_sho_spring,Place 3rd or better in,56
biwa-hayahide-pf-victory-formula,7,takarazuka_kinen,Place 1st in,60
biwa-hayahide-pf-victory-formula,8,tenno_sho_autumn,Place 3rd or better in,68
biwa-hayahide-pf-victory-formula,9,arima_kinen,Place 1st in,72
mayano-top-gun-scramble-zone,1,junior_make_debut,Participate in,12
mayano-top-gun-scramble-zone,2,,Have at least 10000 fans,37
mayano-top-gun-scramble-zone,3,kikuka_sho,Place 3rd or better in,44
mayano-top-gun-scramble-zone,4,arima_kinen,Place 3rd or better in,48
mayano-top-gun-scramble-zone,5,hanshin_daishoten,Place 2nd or better in,54
mayano-top-gun-scramble-zone,6,tenno_sho_spring,Place 3rd or better in,56
mayano-top-gun-scramble-zone,7,takarazuka_kinen,Place 3rd or better in,60
mayano-top-gun-scramble-zone,8,tenno_sho_autumn,Place 1st in,68
mayano-top-gun-scramble-zone,9,arima_kinen,Place 1st in,72
mayano-top-gun-sunlight-bouquet,1,junior_make_debut,Participate in,12
mayano-top-gun-sunlight-bouquet,2,,Have at least 10000 fans,37
mayano-top-gun-sunlight-bouquet,3,kikuka_sho,Place 3rd or better in,44
mayano-top-gun-sunlight-bouquet,4,arima_kinen,Place 3rd or better in,48
mayano-top-gun-sunlight-bouquet,5,hanshin_daishoten,Place 2nd or better in,54
mayano-top-gun-sunlight-bouquet,6,tenno_sho_spring,Place 3rd or better in,56
mayano-top-gun-sunlight-bouquet,7,takarazuka_kinen,Place 3rd or better in,60
mayano-top-gun-sunlight-bouquet,8,tenno_sho_autumn,Place 1st in,68
mayano-top-gun-sunlight-bouquet,9,arima_kinen,Place 1st in,72
mihono-bourbon-mb-19890425,1,junior_make_debut,Participate in,12
mihono-bourbon-mb-19890425,2,asahi_hai_futurity_stakes,Place 5th or better in,23
mihono-bourbon-mb-19890425,3,spring_stakes,Place 5th or better in,30
mihono-bourbon-mb-19890425,4,satsuki_sho,Place 5th or better in,31
mihono-bourbon-mb-19890425,5,tokyo_yushun_japanese_derby,Place 5th or better in,34
mihono-bourbon-mb-19890425,6,kikuka_sho,Place 3rd or better in,44
mihono-bourbon-mb-19890425,7,tenno_sho_spring,Place 3rd or better in,56
mihono-bourbon-mb-19890425,8,japan_cup,Place 2nd or better in,70
mihono-bourbon-mb-19890425,9,arima_kinen,Place 1st in,72
mejiro-ryan-straight-line,1,junior_make_debut,Participate in,12
mejiro-ryan-straight-line,2,junior_cup,Place 3rd or better in,25
mejiro-ryan-straight-line,3,satsuki_sho,Place 5th or better in,31
mejiro-ryan-straight-line,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
mejiro-ryan-straight-line,5,kikuka_sho,Place 3rd or better in,44
mejiro-ryan-straight-line,6,arima_kinen,Place 3rd or better in,48
mejiro-ryan-straight-line,7,tenno_sho_spring,Place 3rd or better in,56
mejiro-ryan-straight-line,8,takarazuka_kinen,Place 1st in,60
mejiro-ryan-straight-line,9,arima_kinen,Place 1st in,72
hishi-akebono-bono-alla-moda,1,junior_make_debut,Participate in,12
hishi-akebono-bono-alla-moda,2,,Have at least 3000 fans,23
hishi-akebono-bono-alla-moda,3,,Have at least 10000 fans,37
hishi-akebono-bono-alla-moda,4,sprinters_stakes,Place 3rd or better in,42
hishi-akebono-bono-alla-moda,5,swan_stakes,Place 3rd or better in,44
hishi-akebono-bono-alla-moda,6,mile_championship,Place 3rd or better in,46
hishi-akebono-bono-alla-moda,7,takamatsunomiya_kinen,Place 1st in,54
hishi-akebono-bono-alla-moda,8,yasuda_kinen,Place 2nd or better in,59
hishi-akebono-bono-alla-moda,9,sprinters_stakes,Place 1st in,66
hishi-akebono-bono-alla-moda,10,mile_championship,Place 1st in,70
rice-shower-rose-dream,1,junior_make_debut,Participate in,12
rice-shower-rose-dream,2,spring_stakes,Place 5th or better in,30
rice-shower-rose-dream,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
rice-shower-rose-dream,4,kikuka_sho,Place 3rd or better in,44
rice-shower-rose-dream,5,nikkei_sho,Place 3rd or better in,54
rice-shower-rose-dream,6,tenno_sho_spring,Place 1st in,56
rice-shower-rose-dream,7,takarazuka_kinen,Place 3rd or better in,60
rice-shower-rose-dream,8,arima_kinen,Place 1st in,72
agnes-tachyon-tach-nology,1,junior_make_debut,Participate in,12
agnes-tachyon-tach-nology,2,yayoi_sho,Place 5th or better in,29
agnes-tachyon-tach-nology,3,satsuki_sho,Place 5th or better in,31
agnes-tachyon-tach-nology,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
agnes-tachyon-tach-nology,5,kikuka_sho,Place 3rd or better in,44
agnes-tachyon-tach-nology,6,osaka_hai,Place 3rd or better in,54
agnes-tachyon-tach-nology,7,takarazuka_kinen,Place 3rd or better in,60
agnes-tachyon-tach-nology,8,tenno_sho_autumn,Place 1st in,68
agnes-tachyon-tach-nology,9,arima_kinen,Place 1st in,72
winning-ticket-go-to-winning,1,junior_make_debut,Participate in,12
winning-ticket-go-to-winning,2,hopeful_stakes,Place 5th or better in,24
winning-ticket-go-to-winning,3,yayoi_sho,Place 5th or better in,29
winning-ticket-go-to-winning,4,satsuki_sho,Place 5th or better in,31
winning-ticket-go-to-winning,5,tokyo_yushun_japanese_derby,Place 5th or better in,34
winning-ticket-go-to-winning,6,kikuka_sho,Place 3rd or better in,44
winning-ticket-go-to-winning,7,osaka_hai,Place 3rd or better in,54
winning-ticket-go-to-winning,8,takarazuka_kinen,Place 3rd or better in,60
winning-ticket-go-to-winning,9,arima_kinen,Place 1st in,72
eishin-flash-meisterschaft,1,junior_make_debut,Participate in,12
eishin-flash-meisterschaft,2,keisei_hai,Place 5th or better in,25
eishin-flash-meisterschaft,3,satsuki_sho,Place 5th or better in,31
eishin-flash-meisterschaft,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
eishin-flash-meisterschaft,5,japan_cup,Participate in,46
eishin-flash-meisterschaft,6,arima_kinen,Participate in,48
eishin-flash-meisterschaft,7,osaka_hai,Place 3rd or better in,54
eishin-flash-meisterschaft,8,tenno_sho_spring,Place 3rd or better in,56
eishin-flash-meisterschaft,9,tenno_sho_autumn,Place 1st in,68
eishin-flash-meisterschaft,10,arima_kinen,Place 1st in,72
curren-chan-fille-eclair,1,junior_make_debut,Participate in,12
curren-chan-fille-eclair,2,,Have at least 3000 fans,23
curren-chan-fille-eclair,3,fillies_revue,Place 5th or better in,29
curren-chan-fille-eclair,4,aoi_stakes,Place 5th or better in,34
curren-chan-fille-eclair,5,hakodate_sprint_stakes,Place 3rd or better in,36
curren-chan-fille-eclair,6,sprinters_stakes,Place 3rd or better in,42
curren-chan-fille-eclair,7,ocean_stakes,Place 3rd or better in,53
curren-chan-fille-eclair,8,takamatsunomiya_kinen,Place 1st in,54
curren-chan-fille-eclair,9,sprinters_stakes,Place 1st in,66
gold-city-authentic-1928,1,junior_make_debut,Participate in,12
gold-city-authentic-1928,2,hanshin_juvenile_fillies,Place 5th or better in,23
gold-city-authentic-1928,3,satsuki_sho,Place 5th or better in,31
gold-city-authentic-1928,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
gold-city-authentic-1928,5,kikuka_sho,Place 3rd or better in,44
gold-city-authentic-1928,6,arima_kinen,Place 3rd or better in,48
gold-city-authentic-1928,7,osaka_hai,Place 3rd or better in,54
gold-city-authentic-1928,8,tenno_sho_spring,Place 3rd or better in,56
gold-city-authentic-1928,9,takarazuka_kinen,Place 3rd or better in,60
gold-city-authentic-1928,10,japan_cup,Place 1st in,70
sakura-bakushin-o-sakura-forward,1,junior_make_debut,Participate in,12
sakura-bakushin-o-sakura-forward,2,keio_hai_junior_stakes,Place 5th or better in,21
sakura-bakushin-o-sakura-forward,3,spring_stakes,Participate in,30
sakura-bakushin-o-sakura-forward,4,aoi_stakes,Place 5th or better in,34
sakura-bakushin-o-sakura-forward,5,sprinters_stakes,Place 3rd or better in,42
sakura-bakushin-o-sakura-forward,6,takamatsunomiya_kinen,Place 3rd or better in,54
sakura-bakushin-o-sakura-forward,7,hakodate_sprint_stakes,Place 1st in,60
sakura-bakushin-o-sakura-forward,8,cbc_sho,Place 1st in,61
sakura-bakushin-o-sakura-forward,9,centaur_stakes,Place 1st in,65
sakura-bakushin-o-sakura-forward,10,sprinters_stakes,Place 1st in,66
sakura-bakushin-o-sakura-forward,11,mile_championship,Place 1st in,70
super-creek-murmuring-stream,1,junior_make_debut,Participate in,12
super-creek-murmuring-stream,2,sumire_stakes,Place 3rd or better in,28
super-creek-murmuring-stream,3,kikuka_sho,Place 3rd or better in,44
super-creek-murmuring-stream,4,arima_kinen,Place 3rd or better in,48
super-creek-murmuring-stream,5,osaka_hai,Place 3rd or better in,54
super-creek-murmuring-stream,6,tenno_sho_spring,Place 3rd or better in,56
super-creek-murmuring-stream,7,tenno_sho_autumn,Place 1st in,68
super-creek-murmuring-stream,8,arima_kinen,Place 1st in,72
smart-falcon-absolute-love,1,junior_make_debut,Participate in,12
smart-falcon-absolute-love,2,,Place 1st in 2 Pre-OP races,25
smart-falcon-absolute-love,3,satsuki_sho,Participate in,31
smart-falcon-absolute-love,4,japan_dirt_derby,Place 5th or better in,37
smart-falcon-absolute-love,5,jbc_classic,Place 3rd or better in,45
smart-falcon-absolute-love,6,tokyo_daishoten,Place 3rd or better in,48
smart-falcon-absolute-love,7,february_stakes,Place 1st in,52
smart-falcon-absolute-love,8,teio_sho,Place 1st in,60
smart-falcon-absolute-love,9,jbc_classic,Place 1st in,69
smart-falcon-absolute-love,10,champions_cup,Place 1st in,71
smart-falcon-absolute-love,11,tokyo_daishoten,Place 1st in,72
narita-taishin-nevertheless,1,junior_make_debut,Participate in,12
narita-taishin-nevertheless,2,hopeful_stakes,Place 5th or better in,24
narita-taishin-nevertheless,3,satsuki_sho,Place 5th or better in,31
narita-taishin-nevertheless,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
narita-taishin-nevertheless,5,kikuka_sho,Participate in,44
narita-taishin-nevertheless,6,nikkei_sho,Place 1st in,54
narita-taishin-nevertheless,7,tenno_sho_spring,Place 3rd or better in,56
narita-taishin-nevertheless,8,tenno_sho_autumn,Place 1st in,68
narita-taishin-nevertheless,9,arima_kinen,Place 1st in,72
haru-urara-uraran-first-prize,1,junior_make_debut,Participate in,12
haru-urara-uraran-first-prize,2,,Have at least 5000 fans,37
haru-urara-uraran-first-prize,3,,Have at least 9000 fans,45
haru-urara-uraran-first-prize,4,,Have at least 12000 fans,48
haru-urara-uraran-first-prize,5,negishi_stakes,Place 5th or better in,50
haru-urara-uraran-first-prize,6,february_stakes,Place 5th or better in,52
