id,slug,name,image,grade_badge_image,trophy_image,course_image,racetrack,direction,participants,grade,grade_display,terrain,distance_type,distance_m,season,time_of_day,career_class,schedule_month,schedule_half,fans_required,first_place_fans,core_distance
32,keio_hai_junior_stakes,Keio Hai Junior Stakes,keio_hai_junior_stakes.png,gii.png,keio_hai_cup.png,tokyo_1400_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Short,1400,Autumn,Daytime,Junior Class,November,First Half,375,3800,non_core_distance
33,kigiku_sho,Kigiku Sho,kigiku_sho.png,pre_op.png,,kyoto_2000_turf_right.png,Kyoto,Right,18,Pre-OP,Pre-OP,Turf,Medium,2000,Autumn,Daytime,Junior Class,November,First Half,350,1000,core_distance
34,kimmokusei_tokubetsu,Kimmokusei Tokubetsu,kimmokusei_tokubetsu.png,pre_op.png,,fukushima_1800_turf_right.png,Fukushima,Right,16,Pre-OP,Pre-OP,Turf,Mile,1800,Autumn,Daytime,Junior Class,November,First Half,350,1000,non_core_distance
35,oxalis_sho,Oxalis Sho,oxalis_sho.png,pre_op.png,,tokyo_1400_dirt_left.png,Tokyo,Left,16,Pre-OP,Pre-OP,Dirt,Short,1400,Autumn,Daytime,Junior Class,November,First Half,350,1000,non_core_distance
36,akamatsu_sho,Akamatsu Sho,akamatsu_sho.png,pre_op.png,,tokyo_1600_turf_left.png,Tokyo,Left,18,Pre-OP,Pre-OP,Turf,Mile,1600,Autumn,Daytime,Junior Class,November,Second Half,350,1000,core_distance
37,begonia_sho,Begonia Sho,begonia_sho.png,pre_op.png,,tokyo_1600_turf_left.png,Tokyo,Left,18,Pre-OP,Pre-OP,Turf,Mile,1600,Autumn,Daytime,Junior Class,November,Second Half,350,1000,core_distance
38,cattleya_sho,Cattleya Sho,cattleya_sho.png,pre_op.png,,tokyo_1600_dirt_left.png,Tokyo,Left,16,Pre-OP,Pre-OP,Dirt,Mile,1600,Autumn,Daytime,Junior Class,November,Second Half,350,1000,core_distance
39,habotan_sho,Habotan Sho,habotan_sho.png,pre_op.png,,nakayama_2000_turf_right.png,Nakayama,Right,18,Pre-OP,Pre-OP,Turf,Medium,2000,Autumn,Daytime,Junior Class,November,Second Half,350,1000,core_distance
40,koyamaki_sho,Koyamaki Sho,koyamaki_sho.png,pre_op.png,,chukyo_1600_turf_left.png,Chukyo,Left,16,Pre-OP,Pre-OP,Turf,Mile,1600,Autumn,Daytime,Junior Class,November,Second Half,350,1000,core_distance
41,kyoto_junior_stakes,Kyoto Junior Stakes,kyoto_junior_stakes.png,giii.png,gii_trophy.png,kyoto_2000_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Medium,2000,Autumn,Daytime,Junior Class,November,Second Half,350,3300,core_distance
42,mochinoki_sho,Mochinoki Sho,mochinoki_sho.png,pre_op.png,,kyoto_1800_dirt_right.png,Kyoto,Right,16,Pre-OP,Pre-OP,Dirt,Mile,1800,Autumn,Daytime,Junior Class,November,Second Half,350,1000,non_core_distance
43,shiragiku_sho,Shiragiku Sho,shiragiku_sho.png,pre_op.png,,kyoto_1600_turf_right.png,Kyoto,Right,18,Pre-OP,Pre-OP,Turf,Mile,1600,Autumn,Daytime,Junior Class,November,Second Half,350,1000,core_distance
44,shumeigiku_sho,Shumeigiku Sho,shumeigiku_sho.png,pre_op.png,,kyoto_1400_turf_right.png,Kyoto,Right,18,Pre-OP,Pre-OP,Turf,Short,1400,Autumn,Daytime,Junior Class,November,Second Half,350,1000,non_core_distance
45,tokyo_sports_hai_junior_stakes,Tokyo Sports Hai Junior Stakes,tokyo_sports_hai_junior_stakes.png,giii.png,tokyo_cup.png,tokyo_1800_turf_left.png,Tokyo,Left,18,GIII,G3,Turf,Mile,1800,Autumn,Daytime,Junior Class,November,Second Half,350,3300,non_core_distance
46,asahi_hai_futurity_stakes,Asahi Hai Futurity Stakes,asahi_hai_futurity_stakes.png,gi.png,gi_trophy.png,hanshin_1600_turf_right.png,Hanshin,Right,18,GI,G1,Turf,Mile,1600,Winter,Daytime,Junior Class,December,First Half,1000,7000,core_distance
47,erica_sho,Erica Sho,erica_sho.png,pre_op.png,,hanshin_2000_turf_right.png,Hanshin,Right,16,Pre-OP,Pre-OP,Turf,Medium,2000,Winter,Daytime,Junior Class,December,First Half,350,1000,core_distance
48,hanshin_juvenile_fillies,Hanshin Juvenile Fillies,hanshin_juvenile_fillies.png,gi.png,hanshin_juvenile_cup.png,hanshin_1600_turf_right.png,Hanshin,Right,18,GI,G1,Turf,Mile,1600,Winter,Daytime,Junior Class,December,First Half,1000,6500,core_distance
49,hiiragi_sho,Hiiragi Sho,hiiragi_sho.png,pre_op.png,,nakayama_1600_turf_right.png,Nakayama,Right,16,Pre-OP,Pre-OP,Turf,Mile,1600,Winter,Daytime,Junior Class,December,First Half,350,1000,core_distance
50,kantsubaki_sho,Kantsubaki Sho,kantsubaki_sho.png,pre_op.png,,chukyo_1400_dirt_left.png,Chukyo,Left,16,Pre-OP,Pre-OP,Dirt,Short,1400,Winter,Daytime,Junior Class,December,First Half,350,1000,non_core_distance
51,kuromatsu_sho,Kuromatsu Sho,kuromatsu_sho.png,pre_op.png,,nakayama_1200_turf_right.png,Nakayama,Right,16,Pre-OP,Pre-OP,Turf,Short,1200,Winter,Daytime,Junior Class,December,First Half,350,1000,core_distance
52,manryo_sho,Manryo Sho,manryo_sho.png,pre_op.png,,hanshin_1400_turf_right.png,Hanshin,Right,18,Pre-OP,Pre-OP,Turf,Short,1400,Winter,Daytime,Junior Class,December,First Half,350,1000,non_core_distance
53,sazanka_sho,Sazanka Sho,sazanka_sho.png,pre_op.png,,hanshin_1200_turf_right.png,Hanshin,Right,16,Pre-OP,Pre-OP,Turf,Short,1200,Winter,Daytime,Junior Class,December,First Half,350,1000,core_distance
54,tsuwabuki_sho,Tsuwabuki Sho,tsuwabuki_sho.png,pre_op.png,,chukyo_1400_turf_left.png,Chukyo,Left,18,Pre-OP,Pre-OP,Turf,Short,1400,Winter,Daytime,Junior Class,December,First Half,350,1000,non_core_distance
55,christmas_rose_stakes,Christmas Rose Stakes,christmas_rose_stakes.png,op.png,,nakayama_1200_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Short,1200,Winter,Daytime,Junior Class,December,Second Half,350,1600,core_distance
56,hopeful_stakes,Hopeful Stakes,hopeful_stakes.png,gi.png,hopeless_stake.png,nakayama_2000_turf_right.png,Nakayama,Right,18,GI,G1,Turf,Medium,2000,Winter,Daytime,Junior Class,December,Second Half,1000,7000,core_distance
57,senryo_sho,Senryo Sho,senryo_sho.png,pre_op.png,,hanshin_1600_turf_right.png,Hanshin,Right,18,Pre-OP,Pre-OP,Turf,Mile,1600,Winter,Daytime,Junior Class,December,Second Half,350,1000,core_distance
58,zen_nippon_junior_yushun,Zen-Nippon Junior Yushun,zen_nippon_junior_yushun.png,gi.png,,kawasaki_1600_dirt_left.png,Kawasaki,Left,14,GI,G1,Dirt,Mile,1600,Winter,Night,Junior Class,December,Second Half,1000,4200,core_distance
59,fairy_stakes,Fairy Stakes,fairy_stakes.png,giii.png,fairy_cup.png,nakayama_1600_turf_right.png,Nakayama,Right,16,GIII,G3,Turf,Mile,1600,Winter,Daytime,Classic Class,January,First Half,750,3500,core_distance
60,junior_cup,Junior Cup,junior_cup.png,op.png,,nakayama_1600_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Mile,1600,Winter,Daytime,Classic Class,January,First Half,350,2000,core_distance
61,keisei_hai,Keisei Hai,keisei_hai.png,giii.png,fairy_cup.png,nakayama_2000_turf_right.png,Nakayama,Right,18,GIII,G3,Turf,Medium,2000,Winter,Daytime,Classic Class,January,First Half,1000,3800,core_distance
62,kobai_stakes,Kobai Stakes,kobai_stakes.png,op.png,,kyoto_1400_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Short,1400,Winter,Daytime,Classic Class,January,First Half,350,2000,non_core_distance
63,shinzan_kinen,Shinzan Kinen,shinzan_kinen.png,giii.png,gii_trophy.png,kyoto_1600_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Mile,1600,Winter,Daytime,Classic Class,January,First Half,1000,3800,core_distance
64,crocus_stakes,Crocus Stakes,crocus_stakes.png,op.png,,tokyo_1400_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Short,1400,Winter,Daytime,Classic Class,January,Second Half,350,2000,non_core_distance
65,wakagoma_stakes,Wakagoma Stakes,wakagoma_stakes.png,op.png,,kyoto_2000_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Medium,2000,Winter,Daytime,Classic Class,January,Second Half,350,2000,core_distance
66,elfin_stakes,Elfin Stakes,elfin_stakes.png,op.png,,kyoto_1600_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Mile,1600,Winter,Daytime,Classic Class,February,First Half,350,2000,core_distance
67,kisaragi_sho,Kisaragi Sho,kisaragi_sho.png,giii.png,gii_trophy.png,kyoto_1800_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Mile,1800,Winter,Daytime,Classic Class,February,First Half,1000,3800,non_core_distance
68,kyodo_news_hai,Kyodo News Hai,kyodo_news_hai.png,giii.png,kyodo_cup.png,tokyo_1800_turf_left.png,Tokyo,Left,18,GIII,G3,Turf,Mile,1800,Winter,Daytime,Classic Class,February,First Half,1000,3800,non_core_distance
69,queen_cup,Queen Cup,queen_cup.png,giii.png,queens_cup.png,tokyo_1600_turf_left.png,Tokyo,Left,18,GIII,G3,Turf,Mile,1600,Winter,Daytime,Classic Class,February,First Half,750,3500,core_distance
70,hyacinth_stakes,Hyacinth Stakes,hyacinth_stakes.png,op.png,,tokyo_1600_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Mile,1600,Winter,Daytime,Classic Class,February,Second Half,350,1900,core_distance
71,marguerite_stakes,Marguerite Stakes,marguerite_stakes.png,op.png,,hanshin_1200_turf_right.png,Hanshin,Right,16,OP,OP,Turf,Short,1200,Winter,Daytime,Classic Class,February,Second Half,350,2000,core_distance
72,sumire_stakes,Sumire Stakes,sumire_stakes.png,op.png,,hanshin_2200_turf_right.png,Hanshin,Right,18,OP,OP,Turf,Medium,2200,Winter,Daytime,Classic Class,February,Second Half,350,2000,non_core_distance
73,anemone_stakes,Anemone Stakes,anemone_stakes.png,op.png,,nakayama_1600_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Mile,1600,Spring,Daytime,Classic Class,March,First Half,350,2000,core_distance
74,fillies_revue,Fillies' Revue,fillies_revue.png,gii.png,mainichi_cup.png,hanshin_1400_turf_right.png,Hanshin,Right,18,GII,G2,Turf,Short,1400,Spring,Daytime,Classic Class,March,First Half,1750,5200,non_core_distance
75,shoryu_stakes,Shoryu Stakes,shoryu_stakes.png,op.png,,chukyo_1400_dirt_left.png,Chukyo,Left,16,OP,OP,Dirt,Short,1400,Spring,Daytime,Classic Class,March,First Half,350,1800,non_core_distance
76,tulip_sho,Tulip Sho,tulip_sho.png,gii.png,mainichi_cup.png,hanshin_1600_turf_right.png,Hanshin,Right,18,GII,G2,Turf,Mile,1600,Spring,Daytime,Classic Class,March,First Half,1750,5200,core_distance
77,yayoi_sho,Yayoi Sho,yayoi_sho.png,gii.png,yayoi_sho_cup.png,nakayama_2000_turf_right.png,Nakayama,Right,18,GII,G2,Turf,Medium,2000,Spring,Daytime,Classic Class,March,First Half,1750,5400,core_distance
78,falcon_stakes,Falcon Stakes,falcon_stakes.png,giii.png,falco_cup.png,chukyo_1400_turf_left.png,Chukyo,Left,18,GIII,G3,Turf,Short,1400,Spring,Daytime,Classic Class,March,Second Half,1250,3800,non_core_distance
79,flower_cup,Flower Cup,flower_cup.png,giii.png,fairy_cup.png,nakayama_1800_turf_right.png,Nakayama,Right,16,GIII,G3,Turf,Mile,1800,Spring,Daytime,Classic Class,March,Second Half,750,3500,non_core_distance
80,mainichi_hai,Mainichi Hai,mainichi_hai.png,giii.png,mainichi_cup.png,hanshin_1800_turf_right.png,Hanshin,Right,18,GIII,G3,Turf,Mile,1800,Spring,Daytime,Classic Class,March,Second Half,1250,3800,non_core_distance
81,spring_stakes,Spring Stakes,spring_stakes.png,gii.png,nakayama_g3_cup.png,nakayama_1800_turf_right.png,Nakayama,Right,16,GII,G2,Turf,Mile,1800,Spring,Daytime,Classic Class,March,Second Half,1750,5400,non_core_distance
82,wakaba_stakes,Wakaba Stakes,wakaba_stakes.png,op.png,,hanshin_2000_turf_right.png,Hanshin,Right,16,OP,OP,Turf,Medium,2000,Spring,Daytime,Classic Class,March,Second Half,350,2000,core_distance
83,arlington_cup,Arlington Cup,arlington_cup.png,giii.png,arlington_cup.png,hanshin_1600_turf_right.png,Hanshin,Right,18,GIII,G3,Turf,Mile,1600,Spring,Daytime,Classic Class,April,First Half,1250,3800,core_distance
84,fukuryu_stakes,Fukuryu Stakes,fukuryu_stakes.png,op.png,,nakayama_1800_dirt_right.png,Nakayama,Right,16,OP,OP,Dirt,Mile,1800,Spring,Daytime,Classic Class,April,First Half,350,1800,non_core_distance
85,marine_cup,Marine Cup,marine_cup.png,giii.png,,funabashi_1600_dirt_left.png,Funabashi,Left,14,GIII,G3,Dirt,Mile,1600,Spring,Night,Classic Class / Senior Class,April,First Half,1000,2500,core_distance
86,new_zealand_trophy,New Zealand Trophy,new_zealand_trophy.png,gii.png,new_zealand_cup.png,nakayama_1600_turf_right.png,Nakayama,Right,16,GII,G2,Turf,Mile,1600,Spring,Daytime,Classic Class,April,First Half,1750,5400,core_distance
87,oka_sho,Oka Sho,oka_sho.png,gi.png,oka_sho_cup.png,hanshin_1600_turf_right.png,Hanshin,Right,18,GI,G1,Turf,Mile,1600,Spring,Daytime,Classic Class,April,First Half,4500,10500,core_distance
88,satsuki_sho,Satsuki Sho,satsuki_sho.png,gi.png,satsuki_sho_cup.png,nakayama_2000_turf_right.png,Nakayama,Right,18,GI,G1,Turf,Medium,2000,Spring,Daytime,Classic Class,April,First Half,4500,11000,core_distance
89,wasurenagusa_sho,Wasurenagusa Sho,wasurenagusa_sho.png,op.png,,hanshin_2000_turf_right.png,Hanshin,Right,16,OP,OP,Turf,Medium,2000,Spring,Daytime,Classic Class,April,First Half,350,2000,core_distance
90,aoba_sho,Aoba Sho,aoba_sho.png,gii.png,aoba_sho_cup.png,tokyo_2400_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Medium,2400,Spring,Daytime,Classic Class,April,Second Half,1800,5400,core_distance
91,flora_stakes,Flora Stakes,flora_stakes.png,gii.png,flora_cup.png,tokyo_2000_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Medium,2000,Spring,Daytime,Classic Class,April,Second Half,1750,5200,core_distance
92,sweetpea_stakes,Sweetpea Stakes,sweetpea_stakes.png,op.png,,tokyo_1800_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Mile,1800,Spring,Daytime,Classic Class,April,Second Half,350,2000,non_core_distance
93,tachibana_stakes,Tachibana Stakes,tachibana_stakes.png,op.png,,kyoto_1400_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Short,1400,Spring,Daytime,Classic Class,April,Second Half,350,2000,non_core_distance
94,tango_stakes,Tango Stakes,tango_stakes.png,op.png,,kyoto_1400_dirt_right.png,Kyoto,Right,16,OP,OP,Dirt,Short,1400,Spring,Daytime,Classic Class,April,Second Half,350,1800,non_core_distance
95,kyoto_shimbun_hai,Kyoto Shimbun Hai,kyoto_shimbun_hai.png,gii.png,gii_trophy.png,kyoto_2200_turf_right.png,Kyoto,Right,18,GII,G2,Turf,Medium,2200,Spring,Daytime,Classic Class,May,First Half,1750,5400,non_core_distance
96,nhk_mile_cup,NHK Mile Cup,nhk_mile_cup.png,gi.png,nhk_mile_trophy.png,tokyo_1600_turf_left.png,Tokyo,Left,18,GI,G1,Turf,Mile,1600,Spring,Daytime,Classic Class,May,First Half,5000,10500,core_distance
97,principal_stakes,Principal Stakes,principal_stakes.png,op.png,,tokyo_2000_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Medium,2000,Spring,Daytime,Classic Class,May,First Half,350,2000,core_distance
98,seiryu_stakes,Seiryu Stakes,seiryu_stakes.png,op.png,,tokyo_1600_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Mile,1600,Spring,Daytime,Classic Class,May,First Half,350,1800,core_distance
99,aoi_stakes,Aoi Stakes,aoi_stakes.png,giii.png,gii_trophy.png,kyoto_1200_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Short,1200,Spring,Daytime,Classic Class,May,Second Half,1250,3800,core_distance
100,hosu_stakes,Hosu Stakes,hosu_stakes.png,op.png,,kyoto_1800_dirt_right.png,Kyoto,Right,16,OP,OP,Dirt,Mile,1800,Spring,Daytime,Classic Class,May,Second Half,350,1900,non_core_distance
101,japanese_oaks,Japanese Oaks,japanese_oaks.png,gi.png,jap_oaks_cup.png,tokyo_2400_turf_left.png,Tokyo,Left,18,GI,G1,Turf,Medium,2400,Spring,Daytime,Classic Class,May,Second Half,6000,11000,core_distance
102,shirayuri_stakes,Shirayuri Stakes,shirayuri_stakes.png,op.png,,kyoto_1800_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Mile,1800,Spring,Daytime,Classic Class,May,Second Half,350,2000,non_core_distance
103,tokyo_yushun_japanese_derby,Tokyo Yushun (Japanese Derby),tokyo_yushun_japanese_derby.png,gi.png,tokyo_yushun_cup.png,tokyo_2400_turf_left.png,Tokyo,Left,18,GI,G1,Turf,Medium,2400,Spring,Daytime,Classic Class,May,Second Half,6000,20000,core_distance
104,epsom_cup,Epsom Cup,epsom_cup.png,giii.png,epsom_cup.png,tokyo_1800_turf_left.png,Tokyo,Left,18,GIII,G3,Turf,Mile,1800,Spring,Daytime,Classic Class,June,First Half,1500,4100,non_core_distance
105,kanto_oaks,Kanto Oaks,kanto_oaks.png,gii.png,,kawasaki_2100_dirt_left.png,Kawasaki,Left,14,GII,G2,Dirt,Medium,2100,Spring,Night,Classic Class,June,First Half,1800,3500,non_core_distance
106,mermaid_stakes,Mermaid Stakes,mermaid_stakes.png,giii.png,mainichi_cup.png,hanshin_2000_turf_right.png,Hanshin,Right,16,GIII,G3,Turf,Medium,2000,Spring,Daytime,Classic Class,June,First Half,1000,3600,core_distance
107,naruo_kinen,Naruo Kinen,naruo_kinen.png,giii.png,mainichi_cup.png,hanshin_2000_turf_right.png,Hanshin,Right,16,GIII,G3,Turf,Medium,2000,Spring,Daytime,Classic Class,June,First Half,1500,4100,core_distance
108,sleipnir_stakes,Sleipnir Stakes,sleipnir_stakes.png,op.png,,tokyo_2100_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Medium,2100,Spring,Daytime,Classic Class / Senior Class,June,First Half,350,2200,non_core_distance
109,tempozan_stakes,Tempozan Stakes,tempozan_stakes.png,op.png,,hanshin_1400_dirt_right.png,Hanshin,Right,16,OP,OP,Dirt,Short,1400,Spring,Daytime,Classic Class / Senior Class,June,First Half,350,2200,non_core_distance
110,yasuda_kinen,Yasuda Kinen,yasuda_kinen.png,gi.png,yasuda_kinen_cup.png,tokyo_1600_turf_left.png,Tokyo,Left,18,GI,G1,Turf,Mile,1600,Spring,Daytime,Classic Class/Senior Class,June,First Half,15000,13000,core_distance
111,akhalteke_stakes,Akhalteke Stakes,akhalteke_stakes.png,op.png,,tokyo_1600_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Mile,1600,Spring,Daytime,Classic Class / Senior Class,June,Second Half,350,2200,core_distance
112,hakodate_sprint_stakes,Hakodate Sprint Stakes,hakodate_sprint_stakes.png,giii.png,g3_trophy.png,hakodate_1200_turf_right.png,Hakodate,Right,16,GIII,G3,Turf,Short,1200,Spring,Daytime,Classic Class / Senior Class,June,Second Half,1250,3900,core_distance
113,onuma_stakes,Onuma Stakes,,op.png,,hakodate_1700_dirt_right.png,Hakodate,Right,14,OP,OP,Dirt,Mile,1700,Spring,Daytime,Classic Class / Senior Class,June,Second Half,350,2300,non_core_distance
114,paradise_stakes,Paradise Stakes,paradise_stakes.png,op.png,,tokyo_1400_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Short,1400,Spring,Daytime,Classic Class / Senior Class,June,Second Half,350,2500,non_core_distance
115,sannomiya_stakes,Sannomiya Stakes,sannomiya_stakes.png,op.png,,hanshin_1800_dirt_right.png,Hanshin,Right,16,OP,OP,Dirt,Mile,1800,Spring,Daytime,Classic Class / Senior Class,June,Second Half,350,2200,non_core_distance
