race_slug,item_id,quantity,drop_rate,sort_order
shiragiku_sho,support_points,20,5%,2
shumeigiku_sho,monies,200,100%,1
shumeigiku_sho,support_points,20,5%,2
tokyo_sports_hai_junior_stakes,mile_racing_shoes,1,100%,1
tokyo_sports_hai_junior_stakes,carats,5,5%,2
tokyo_sports_hai_junior_stakes,monies,400-2400,100%,3
tokyo_sports_hai_junior_stakes,support_points,20-120,84%,4
tokyo_sports_hai_junior_stakes,goddess_statue,1,1%,5
asahi_hai_futurity_stakes,mile_racing_shoes,1,100%,1
asahi_hai_futurity_stakes,carats,5,5%,2
asahi_hai_futurity_stakes,monies,400-2400,100%,3
asahi_hai_futurity_stakes,asahi_hai_f_s_winner_s_sash,1,100%,4
asahi_hai_futurity_stakes,support_points,1,100%,5
asahi_hai_futurity_stakes,goddess_statue,20-120,84%,6
erica_sho,monies,200,100%,1
erica_sho,support_points,20,5%,2
hanshin_juvenile_fillies,mile_racing_shoes,1,100%,1
hanshin_juvenile_fillies,carats,5,5%,2
hanshin_juvenile_fillies,monies,400-2400,100%,3
hanshin_juvenile_fillies,hanshin_j_f_winner_s_sash,1,100%,4
hanshin_juvenile_fillies,support_points,1,100%,5
hanshin_juvenile_fillies,goddess_statue,20-120,84%,6
hiiragi_sho,monies,200,100%,1
hiiragi_sho,support_points,20,5%,2
kantsubaki_sho,monies,200,100%,1
kantsubaki_sho,support_points,20,5%,2
kuromatsu_sho,monies,200,100%,1
kuromatsu_sho,support_points,20,5%,2
manryo_sho,monies,200,100%,1
manryo_sho,support_points,20,5%,2
sazanka_sho,monies,200,100%,1
sazanka_sho,support_points,20,5%,2
tsuwabuki_sho,monies,200,100%,1
tsuwabuki_sho,support_points,20,5%,2
christmas_rose_stakes,monies,200,100%,1
christmas_rose_stakes,support_points,20,5%,2
hopeful_stakes,medium_racing_shoes,1,100%,1
hopeful_stakes,carats,5,5%,2
hopeful_stakes,monies,400-2400,100%,3
hopeful_stakes,hopeful_s_winner_s_sash,1,100%,4
hopeful_stakes,support_points,1,100%,5
hopeful_stakes,goddess_statue,20-120,84%,6
senryo_sho,monies,200,100%,1
senryo_sho,support_points,20,5%,2
zen_nippon_junior_yushun,dirt_racing_shoes,1,100%,1
zen_nippon_junior_yushun,carats,5,5%,2
zen_nippon_junior_yushun,monies,400-2400,100%,3
zen_nippon_junior_yushun,zen_nippon_junior_yushun_winner_s_sash,1,100%,4
zen_nippon_junior_yushun,support_points,20-120,84%,5
zen_nippon_junior_yushun,goddess_statue,1,1%,6
fairy_stakes,mile_racing_shoes,1,100%,1
fairy_stakes,carats,5,5%,2
fairy_stakes,monies,400-2400,100%,3
fairy_stakes,support_points,20-120,84%,4
fairy_stakes,goddess_statue,1,1%,5
junior_cup,monies,200,100%,1
junior_cup,support_points,20,5%,2
keisei_hai,medium_racing_shoes,1,100%,1
keisei_hai,carats,5,5%,2
keisei_hai,monies,400-2400,100%,3
keisei_hai,support_points,20-120,84%,4
keisei_hai,goddess_statue,1,1%,5
kobai_stakes,monies,200,100%,1
kobai_stakes,support_points,20,5%,2
shinzan_kinen,mile_racing_shoes,1,100%,1
shinzan_kinen,carats,5,5%,2
shinzan_kinen,monies,400-2400,100%,3
shinzan_kinen,support_points,20-120,84%,4
shinzan_kinen,goddess_statue,1,1%,5
crocus_stakes,monies,200,100%,1
crocus_stakes,support_points,20,5%,2
wakagoma_stakes,monies,200,100%,1
wakagoma_stakes,support_points,20,5%,2
elfin_stakes,monies,200,100%,1
elfin_stakes,support_points,20,5%,2
kisaragi_sho,mile_racing_shoes,1,100%,1
kisaragi_sho,carats,5,5%,2
kisaragi_sho,monies,400-2400,100%,3
kisaragi_sho,support_points,20-120,84%,4
kisaragi_sho,goddess_statue,1,1%,5
kyodo_news_hai,mile_racing_shoes,1,100%,1
kyodo_news_hai,carats,5,5%,2
kyodo_news_hai,monies,400-2400,100%,3
kyodo_news_hai,support_points,20-120,84%,4
kyodo_news_hai,goddess_statue,1,1%,5
queen_cup,mile_racing_shoes,1,100%,1
queen_cup,carats,5,5%,2
queen_cup,monies,400-2400,100%,3
queen_cup,support_points,20-120,84%,4
queen_cup,goddess_statue,1,1%,5
hyacinth_stakes,monies,200,100%,1
hyacinth_stakes,support_points,20,5%,2
marguerite_stakes,monies,200,100%,1
marguerite_stakes,support_points,20,5%,2
sumire_stakes,monies,200,100%,1
sumire_stakes,support_points,20,5%,2
anemone_stakes,monies,200,100%,1
anemone_stakes,support_points,20,5%,2
fillies_revue,sprint_racing_shoes,1,100%,1
fillies_revue,carats,5,5%,2
fillies_revue,monies,400-2400,100%,3
fillies_revue,support_points,20-120,84%,4
fillies_revue,goddess_statue,1,1%,5
shoryu_stakes,monies,200,100%,1
shoryu_stakes,support_points,20,5%,2
tulip_sho,mile_racing_shoes,1,100%,1
tulip_sho,carats,5,5%,2
tulip_sho,monies,400-2400,100%,3
tulip_sho,support_points,20-120,84%,4
tulip_sho,goddess_statue,1,1%,5
yayoi_sho,medium_racing_shoes,1,100%,1
yayoi_sho,carats,5,5%,2
yayoi_sho,monies,400-2400,100%,3
yayoi_sho,support_points,20-120,84%,4
yayoi_sho,goddess_statue,1,1%,5
falcon_stakes,sprint_racing_shoes,1,100%,1
falcon_stakes,carats,5,5%,2
falcon_stakes,monies,400-2400,100%,3
falcon_stakes,support_points,20-120,84%,4
falcon_stakes,goddess_statue,1,1%,5
flower_cup,mile_racing_shoes,1,100%,1
flower_cup,carats,5,5%,2
flower_cup,monies,400-2400,100%,3
flower_cup,support_points,20-120,84%,4
flower_cup,goddess_statue,1,1%,5
mainichi_hai,mile_racing_shoes,1,100%,1
mainichi_hai,carats,5,5%,2
mainichi_hai,monies,400-2400,100%,3
mainichi_hai,support_points,20-120,84%,4
mainichi_hai,goddess_statue,1,1%,5
spring_stakes,mile_racing_shoes,1,100%,1
spring_stakes,carats,5,5%,2
spring_stakes,monies,400-2400,100%,3
spring_stakes,support_points,20-120,84%,4
spring_stakes,goddess_statue,1,1%,5
wakaba_stakes,monies,200,100%,1
wakaba_stakes,support_points,20,5%,2
arlington_cup,mile_racing_shoes,1,100%,1
arlington_cup,carats,5,5%,2
arlington_cup,monies,400-2400,100%,3
arlington_cup,support_points,20-120,84%,4
arlington_cup,goddess_statue,1,1%,5
fukuryu_stakes,monies,200,100%,1
fukuryu_stakes,support_points,20,5%,2
marine_cup,dirt_racing_shoes,1,100%,1
marine_cup,carats,5,5%,2
marine_cup,monies,400-2400,100%,3
marine_cup,support_points,20-120,84%,4
marine_cup,goddess_statue,1,1%,5
new_zealand_trophy,mile_racing_shoes,1,100%,1
new_zealand_trophy,carats,5,5%,2
new_zealand_trophy,monies,400-2400,100%,3
new_zealand_trophy,support_points,20-120,84%,4
new_zealand_trophy,goddess_statue,1,1%,5
oka_sho,mile_racing_shoes,1,100%,1
oka_sho,carats,5,5%,2
oka_sho,monies,400-2400,100%,3
oka_sho,oka_sho_winner_s_sash,1,100%,4
oka_sho,support_points,1,100%,5
oka_sho,goddess_statue,20-120,84%,6
satsuki_sho,medium_racing_shoes,1,100%,1
satsuki_sho,carats,5,5%,2
satsuki_sho,monies,400-2400,100%,3
satsuki_sho,satsuki_sho_winner_s_sash,1,100%,4
satsuki_sho,support_points,1,100%,5
satsuki_sho,goddess_statue,20-120,84%,6
wasurenagusa_sho,monies,200,100%,1
wasurenagusa_sho,support_points,20,5%,2
aoba_sho,medium_racing_shoes,1,100%,1
aoba_sho,carats,5,5%,2
aoba_sho,monies,400-2400,100%,3
aoba_sho,support_points,20-120,84%,4
aoba_sho,goddess_statue,1,1%,5
flora_stakes,medium_racing_shoes,1,100%,1
flora_stakes,carats,5,5%,2
flora_stakes,monies,400-2400,100%,3
flora_stakes,support_points,20-120,84%,4
flora_stakes,goddess_statue,1,1%,5
sweetpea_stakes,monies,200,100%,1
sweetpea_stakes,support_points,20,5%,2
tachibana_stakes,monies,200,100%,1
tachibana_stakes,support_points,20,5%,2
tango_stakes,monies,200,100%,1
tango_stakes,support_points,20,5%,2
kyoto_shimbun_hai,medium_racing_shoes,1,100%,1
kyoto_shimbun_hai,carats,5,5%,2
kyoto_shimbun_hai,monies,400-2400,100%,3
kyoto_shimbun_hai,support_points,20-120,84%,4
kyoto_shimbun_hai,goddess_statue,1,1%,5
nhk_mile_cup,mile_racing_shoes,1,100%,1
nhk_mile_cup,carats,5,5%,2
nhk_mile_cup,monies,400-2400,100%,3
nhk_mile_cup,nhk_mile_c_winner_s_sash,1,100%,4
nhk_mile_cup,support_points,1,100%,5
nhk_mile_cup,goddess_statue,20-120,84%,6
principal_stakes,monies,200,100%,1
principal_stakes,support_points,20,5%,2
seiryu_stakes,monies,200,100%,1
seiryu_stakes,support_points,20,5%,2
aoi_stakes,sprint_racing_shoes,1,100%,1
aoi_stakes,carats,5,5%,2
aoi_stakes,monies,400-2400,100%,3
aoi_stakes,support_points,20-120,84%,4
aoi_stakes,goddess_statue,1,1%,5
hosu_stakes,monies,200,100%,1
hosu_stakes,support_points,20,5%,2
japanese_oaks,medium_racing_shoes,1,100%,1
japanese_oaks,carats,5,5%,2
japanese_oaks,monies,400-2400,100%,3
japanese_oaks,japanese_oaks_winner_s_sash,1,100%,4
japanese_oaks,support_points,1,100%,5
japanese_oaks,goddess_statue,20-120,84%,6
shirayuri_stakes,monies,200,100%,1
shirayuri_stakes,support_points,20,5%,2
tokyo_yushun_japanese_derby,medium_racing_shoes,1,100%,1
tokyo_yushun_japanese_derby,carats,5,5%,2
tokyo_yushun_japanese_derby,monies,400-2400,100%,3
tokyo_yushun_japanese_derby,japanese_derby_winner_s_sash,400-2400,100%,4
tokyo_yushun_japanese_derby,support_points,1,100%,5
tokyo_yushun_japanese_derby,goddess_statue,20-120,84%,6
epsom_cup,mile_racing_shoes,1,100%,1
epsom_cup,carats,5,5%,2
epsom_cup,monies,400-2400,100%,3
epsom_cup,support_points,20-120,84%,4
epsom_cup,goddess_statue,1,1%,5
kanto_oaks,dirt_racing_shoes,1,100%,1
kanto_oaks,carats,5,5%,2
kanto_oaks,monies,400-2400,100%,3
kanto_oaks,support_points,20-120,84%,4
kanto_oaks,goddess_statue,1,1%,5
mermaid_stakes,medium_racing_shoes,1,100%,1
mermaid_stakes,carats,5,5%,2
mermaid_stakes,monies,400-2400,100%,3
mermaid_stakes,support_points,20-120,84%,4
mermaid_stakes,goddess_statue,1,1%,5
naruo_kinen,medium_racing_shoes,1,100%,1
naruo_kinen,carats,5,5%,2
naruo_kinen,monies,400-2400,100%,3
naruo_kinen,support_points,20-120,84%,4
naruo_kinen,goddess_statue,1,1%,5
sleipnir_stakes,monies,200,100%,1
sleipnir_stakes,support_points,20,5%,2
tempozan_stakes,monies,200,100%,1
tempozan_stakes,support_points,20,5%,2
yasuda_kinen,mile_racing_shoes,1,100%,1
yasuda_kinen,carats,5,5%,2
yasuda_kinen,monies,400-2400,100%,3
yasuda_kinen,yasuda_kinen_winner_s_sash,1,100%,4
yasuda_kinen,support_points,1,100%,5
yasuda_kinen,goddess_statue,20-120,84%,6
akhalteke_stakes,monies,200,100%,1
akhalteke_stakes,support_points,20,5%,2
hakodate_sprint_stakes,sprint_racing_shoes,1,100%,1
hakodate_sprint_stakes,carats,5,5%,2
hakodate_sprint_stakes,monies,400-2400,100%,3
hakodate_sprint_stakes,support_points,20-120,84%,4
hakodate_sprint_stakes,goddess_statue,1,1%,5
onuma_stakes,monies,200,100%,1
onuma_stakes,support_points,20,5%,2
paradise_stakes,monies,200,100%,1
paradise_stakes,support_points,20,5%,2
sannomiya_stakes,monies,200,100%,1
sannomiya_stakes,support_points,20,5%,2
takarazuka_kinen,medium_racing_shoes,1,100%,1
takarazuka_kinen,carats,5,5%,2
takarazuka_kinen,monies,400-2400,100%,3
takarazuka_kinen,takarazuka_kinen_winner_s_sash,1,100%,4
takarazuka_kinen,support_points,1,100%,5
takarazuka_kinen,goddess_statue,20-120,84%,6
unicorn_stakes,dirt_racing_shoes,1,100%,1
unicorn_stakes,carats,5,5%,2
unicorn_stakes,monies,400-2400,100%,3
unicorn_stakes,support_points,20-120,84%,4
unicorn_stakes,goddess_statue,1,1%,5
yonago_stakes,monies,200,100%,1
yonago_stakes,support_points,20,5%,2
cbc_sho,sprint_racing_shoes,1,100%,1
cbc_sho,carats,5,5%,2
cbc_sho,monies,400-2400,100%,3
cbc_sho,support_points,20-120,84%,4
cbc_sho,goddess_statue,1,1%,5
hakodate_kinen,medium_racing_shoes,1,100%,1
hakodate_kinen,carats,5,5%,2
hakodate_kinen,monies,400-2400,100%,3
hakodate_kinen,support_points,20-120,84%,4
hakodate_kinen,goddess_statue,1,1%,5
japan_dirt_derby,dirt_racing_shoes,1,100%,1
japan_dirt_derby,carats,5,5%,2
japan_dirt_derby,monies,400-2400,100%,3
japan_dirt_derby,japan_dirt_derby_winner_s_sash,1,100%,4
japan_dirt_derby,support_points,1,100%,5
japan_dirt_derby,goddess_statue,20-120,84%,6
marine_stakes,monies,200,100%,1
marine_stakes,support_points,20,5%,2
meitetsu_hai,monies,200,100%,1
meitetsu_hai,support_points,20,5%,2
procyon_stakes,dirt_racing_shoes,1,100%,1
procyon_stakes,carats,5,5%,2
procyon_stakes,monies,400-2400,100%,3
procyon_stakes,support_points,20-120,84%,4
procyon_stakes,goddess_statue,1,1%,5
radio_nikkei_sho,mile_racing_shoes,1,100%,1
radio_nikkei_sho,carats,5,5%,2
radio_nikkei_sho,monies,400-2400,100%,3
radio_nikkei_sho,support_points,20-120,84%,4
radio_nikkei_sho,goddess_statue,1,1%,5
sparking_lady_cup,dirt_racing_shoes,1,100%,1
sparking_lady_cup,carats,5,5%,2
sparking_lady_cup,monies,400-2400,100%,3
sparking_lady_cup,support_points,20-120,84%,4
sparking_lady_cup,goddess_statue,1,1%,5
tanabata_sho,medium_racing_shoes,1,100%,1
tanabata_sho,carats,5,5%,2
tanabata_sho,monies,400-2400,100%,3
tanabata_sho,support_points,20-120,84%,4
tanabata_sho,goddess_statue,1,1%,5
tomoe_sho,monies,200,100%,1
tomoe_sho,support_points,20,5%,2
chukyo_kinen,mile_racing_shoes,1,100%,1
chukyo_kinen,carats,5,5%,2
chukyo_kinen,monies,400-2400,100%,3
chukyo_kinen,support_points,20-120,84%,4
chukyo_kinen,goddess_statue,1,1%,5
fukushima_tv_open,monies,200,100%,1
fukushima_tv_open,support_points,20,5%,2
ibis_summer_dash,sprint_racing_shoes,1,100%,1
ibis_summer_dash,carats,5,5%,2
ibis_summer_dash,monies,400-2400,100%,3
ibis_summer_dash,support_points,20-120,84%,4
ibis_summer_dash,goddess_statue,1,1%,5
mercury_cup,dirt_racing_shoes,1,100%,1
mercury_cup,carats,5,5%,2
mercury_cup,monies,400-2400,100%,3
mercury_cup,support_points,20-120,84%,4
mercury_cup,goddess_statue,1,1%,5
queen_stakes,mile_racing_shoes,1,100%,1
queen_stakes,carats,5,5%,2
queen_stakes,monies,400-2400,100%,3
queen_stakes,support_points,20-120,84%,4
queen_stakes,goddess_statue,1,1%,5
aso_stakes,monies,200,100%,1
aso_stakes,support_points,20,5%,2
elm_stakes,dirt_racing_shoes,1,100%,1
elm_stakes,carats,5,5%,2
elm_stakes,monies,400-2400,100%,3
elm_stakes,support_points,20-120,84%,4
elm_stakes,goddess_statue,1,1%,5
kanetsu_stakes,monies,200,100%,1
kanetsu_stakes,support_points,20,5%,2
kokura_kinen,medium_racing_shoes,1,100%,1
kokura_kinen,carats,5,5%,2
kokura_kinen,monies,400-2400,100%,3
kokura_kinen,support_points,20-120,84%,4
kokura_kinen,goddess_statue,1,1%,5
leopard_stakes,dirt_racing_shoes,1,100%,1
leopard_stakes,carats,5,5%,2
leopard_stakes,monies,400-2400,100%,3
leopard_stakes,support_points,20-120,84%,4
leopard_stakes,goddess_statue,1,1%,5
sapporo_nikkei_open,monies,200,100%,1
sapporo_nikkei_open,support_points,20,5%,2
sekiya_kinen,mile_racing_shoes,1,100%,1
sekiya_kinen,carats,5,5%,2
sekiya_kinen,monies,400-2400,100%,3
sekiya_kinen,support_points,20-120,84%,4
sekiya_kinen,goddess_statue,1,1%,5
uhb_sho,monies,200,100%,1
uhb_sho,support_points,20,5%,2
bsn_sho,monies,200,100%,1
bsn_sho,support_points,20,5%,2
cluster_cup,dirt_racing_shoes,1,100%,1
cluster_cup,carats,5,5%,2
cluster_cup,monies,400-2400,100%,3
cluster_cup,support_points,20-120,84%,4
cluster_cup,goddess_statue,1,1%,5
keeneland_cup,sprint_racing_shoes,1,100%,1
keeneland_cup,carats,5,5%,2
keeneland_cup,monies,400-2400,100%,3
keeneland_cup,support_points,20-120,84%,4
keeneland_cup,goddess_statue,1,1%,5
kitakyushu_kinen,sprint_racing_shoes,1,100%,1
kitakyushu_kinen,carats,5,5%,2
kitakyushu_kinen,monies,400-2400,100%,3
kitakyushu_kinen,support_points,20-120,84%,4
kitakyushu_kinen,goddess_statue,1,1%,5
kokura_nikkei_open,monies,200,100%,1
kokura_nikkei_open,support_points,20,5%,2
nst_sho,monies,200,100%,1
nst_sho,support_points,20,5%,2
sapporo_kinen,medium_racing_shoes,1,100%,1
sapporo_kinen,carats,5,5%,2
sapporo_kinen,monies,400-2400,100%,3
sapporo_kinen,support_points,20-120,84%,4
sapporo_kinen,goddess_statue,1,1%,5
toki_stakes,monies,200,100%,1
toki_stakes,support_points,20,5%,2
centaur_stakes,sprint_racing_shoes,1,100%,1
centaur_stakes,carats,5,5%,2
centaur_stakes,monies,400-2400,100%,3
centaur_stakes,support_points,20-120,84%,4
centaur_stakes,goddess_statue,1,1%,5
enif_stakes,monies,200,100%,1
enif_stakes,support_points,20,5%,2
keisei_hai_autumn_handicap,mile_racing_shoes,1,100%,1
keisei_hai_autumn_handicap,carats,5,5%,2
keisei_hai_autumn_handicap,monies,400-2400,100%,3
keisei_hai_autumn_handicap,support_points,20-120,84%,4
keisei_hai_autumn_handicap,goddess_statue,1,1%,5
niigata_kinen,medium_racing_shoes,1,100%,1
niigata_kinen,carats,5,5%,2
niigata_kinen,monies,400-2400,100%,3
niigata_kinen,support_points,20-120,84%,4
niigata_kinen,goddess_statue,1,1%,5
radio_nippon_sho,monies,200,100%,1
radio_nippon_sho,support_points,20,5%,2
rose_stakes,mile_racing_shoes,1,100%,1
rose_stakes,carats,5,5%,2
rose_stakes,monies,400-2400,100%,3
rose_stakes,support_points,20-120,84%,4
rose_stakes,goddess_statue,1,1%,5
shion_stakes,medium_racing_shoes,1,100%,1
shion_stakes,carats,5,5%,2
shion_stakes,monies,400-2400,100%,3
shion_stakes,support_points,20-120,84%,4
shion_stakes,goddess_statue,1,1%,5
tancho_stakes,monies,200,100%,1
tancho_stakes,support_points,20,5%,2
all_comers,medium_racing_shoes,1,100%,1
all_comers,carats,5,5%,2
all_comers,monies,400-2400,100%,3
all_comers,support_points,20-120,84%,4
all_comers,goddess_statue,1,1%,5
kobe_shimbun_hai,medium_racing_shoes,1,100%,1
kobe_shimbun_hai,carats,5,5%,2
kobe_shimbun_hai,monies,400-2400,100%,3
kobe_shimbun_hai,support_points,20-120,84%,4
kobe_shimbun_hai,goddess_statue,1,1%,5
nagatsuki_stakes,monies,200,100%,1
nagatsuki_stakes,support_points,20,5%,2
port_island_stakes,monies,200,100%,1
port_island_stakes,support_points,20,5%,2
sazanka_tv_hai,dirt_racing_shoes,1,100%,1
sazanka_tv_hai,carats,5,5%,2
sazanka_tv_hai,monies,400-2400,100%,3
sazanka_tv_hai,support_points,20-120,84%,4
sazanka_tv_hai,goddess_statue,1,1%,5
sirius_stakes,dirt_racing_shoes,1,100%,1
sirius_stakes,carats,5,5%,2
sirius_stakes,monies,400-2400,100%,3
sirius_stakes,support_points,20-120,84%,4
sirius_stakes,goddess_statue,1,1%,5
sprinters_stakes,sprint_racing_shoes,1,100%,1
sprinters_stakes,carats,5,5%,2
sprinters_stakes,monies,400-2400,100%,3
sprinters_stakes,sprinters_s_winner_s_sash,1,100%,4
sprinters_stakes,support_points,1,100%,5
sprinters_stakes,goddess_statue,20-120,84%,6
st_lite_kinen,medium_racing_shoes,1,100%,1
st_lite_kinen,carats,5,5%,2
st_lite_kinen,monies,400-2400,100%,3
st_lite_kinen,support_points,20-120,84%,4
st_lite_kinen,goddess_statue,1,1%,5
fuchu_umamusume_stakes,mile_racing_shoes,1,100%,1
fuchu_umamusume_stakes,carats,5,5%,2
fuchu_umamusume_stakes,monies,400-2400,100%,3
fuchu_umamusume_stakes,support_points,20-120,84%,4
fuchu_umamusume_stakes,goddess_statue,1,1%,5
green_channel_cup,monies,200,100%,1
green_channel_cup,support_points,20,5%,2
kyoto_daishoten,medium_racing_shoes,1,100%,1
kyoto_daishoten,carats,5,5%,2
kyoto_daishoten,monies,400-2400,100%,3
kyoto_daishoten,support_points,20-120,84%,4
kyoto_daishoten,goddess_statue,1,1%,5
ladies_prelude,dirt_racing_shoes,1,100%,1
ladies_prelude,carats,5,5%,2
ladies_prelude,monies,400-2400,100%,3
ladies_prelude,support_points,20-120,84%,4
ladies_prelude,goddess_statue,1,1%,5
mainichi_okan,mile_racing_shoes,1,100%,1
mainichi_okan,carats,5,5%,2
mainichi_okan,monies,400-2400,100%,3
mainichi_okan,support_points,20-120,84%,4
mainichi_okan,goddess_statue,1,1%,5
october_stakes,monies,200,100%,1
october_stakes,support_points,20,5%,2
opal_stakes,monies,200,100%,1
opal_stakes,support_points,20,5%,2
shinetsu_stakes,monies,200,100%,1
shinetsu_stakes,support_points,20,5%,2
tokyo_hai,dirt_racing_shoes,1,100%,1
tokyo_hai,carats,5,5%,2
tokyo_hai,monies,400-2400,100%,3
tokyo_hai,support_points,20-120,84%,4
tokyo_hai,goddess_statue,1,1%,5
uzumasa_stakes,monies,200,100%,1
uzumasa_stakes,support_points,20,5%,2
brazil_cup,monies,200,100%,1
brazil_cup,support_points,20,5%,2
cassiopeia_stakes,monies,200,100%,1
cassiopeia_stakes,support_points,20,5%,2
fuji_stakes,mile_racing_shoes,1,100%,1
fuji_stakes,carats,5,5%,2
fuji_stakes,monies,400-2400,100%,3
fuji_stakes,support_points,20-120,84%,4
fuji_stakes,goddess_statue,1,1%,5
kikuka_sho,long_racing_shoes,1,100%,1
kikuka_sho,carats,5,5%,2
kikuka_sho,monies,400-2400,100%,3
kikuka_sho,kikuka_sho_winner_s_sash,1,100%,4
kikuka_sho,support_points,1,100%,5
kikuka_sho,goddess_statue,20-120,84%,6
lumiere_autumn_dash,monies,200,100%,1
lumiere_autumn_dash,support_points,20,5%,2
muromachi_stakes,monies,200,100%,1
muromachi_stakes,support_points,20,5%,2
shuka_sho,medium_racing_shoes,1,100%,1
shuka_sho,carats,5,5%,2
shuka_sho,monies,400-2400,100%,3
shuka_sho,shuka_sho_winner_s_sash,1,100%,4
shuka_sho,support_points,1,100%,5
shuka_sho,goddess_statue,20-120,84%,6
swan_stakes,sprint_racing_shoes,1,100%,1
swan_stakes,carats,5,5%,2
