id,name,requirement,image,sort_order
tokyo_tyrant,Tokyo Tyrant,Win 200 races at Tokyo Racecourse in Career,tokyo_tyrant.png,40
nagoya_nighthawk,Nagoya Nighthawk,Win 200 races at Chukyo Racecourse in Career,nagoya_nighthawk.png,41
kyoto_conquerer,Kyoto Conquerer,Win 200 races at Kyoto Racecourse in Career,kyoto_conquerer.png,42
hanshin_hunter,Hanshin Hunter,Win 200 races at Hanshin Racecourse in Career,hanshin_hunter.png,43
kokura_keeper,Kokura Keeper,Win 200 races at Kokura Racecourse in Career,kokura_keeper.png,44
oi_all_timer,Oi All-Timer,Win 200 races at Oi Racecourse in Career,oi_all_timer.png,45
kawasaki_all_timer,Kawasaki All-Timer,Win 200 races at Kawasaki Racecourse in Career,kawasaki_all_timer.png,46
funabashi_all_timer,Funabashi All-Timer,Win 200 races at Funabashi Racecourse in Career,funabashi_all_timer.png,47
morioka_all_timer,Morioka All-Timer,Win 200 races at Morioka Racecourse in Career,morioka_all_timer.png,48
step_by_step,Step By Step,Win 100 Daily Races,step_by_step.png,49
the_legend_s_first_step,The Legend's First Step,Win 1 Legend Race,the_legend_s_first_step.png,50
legend_slayer,Legend Slayer,Win 100 Legend Races,legend_slayer.png,51
no_i_in_team,"No ""I"" in Team",Play Team Trials 100 times,no_i_in_team.png,52
top_class,Top Class,Reach Class 6 in Team Trials,top_class.png,53
treasure_hunter,Treasure Hunter,Obtain 100 bonus win rewards in Team Trials,treasure_hunter.png,54
15_000_000_cc,"15,000,000 CC","Obtain a score of 1,000,000 in Team Trials",15_000_000_cc.png,55
umapyoi_legend,Umapyoi Legend,Watch Umapyoi Legend,umapyoi_legend.png,56
brilliant_phantasia,Brilliant Phantasia,Watch Brilliant Phantasia,brilliant_phantasia.png,57
make_debut,Make Debut!,Watch Make Debut!,make_debut.png,58
endless_dream,Endless Dream!!,Watch Endless Dream!!,endless_dream.png,59
next_frontier,NEXT FRONTIER,Watch NEXT FRONTIER,next_frontier.png,60
unlimited_impact,UNLIMITED IMPACT,Watch UNLIMITED IMPACT,unlimited_impact.png,61
special_record,Special Record!,Watch Special Record!,special_record.png,62
signal_of_something_new,Signal of Something New,Watch Signal of Something New,signal_of_something_new.png,63
a_little_prayer,A Little Prayer,Watch A Little Prayer,a_little_prayer.png,64
instinctive_speed,Instinctive Speed,Watch Instinctive Speed,instinctive_speed.png,65
winning_the_soul,Winning the Soul,Watch Winning the Soul,winning_the_soul.png,66
run_for_our_dream,Run for Our Dream!,Watch Run for Our Dream!,run_for_our_dream.png,67
triple_dreamer,Triple Dreamer,Watch Run for Our Dream! with a specific formation,triple_dreamer.png,68
those_tears_are_for_tomorrow_s_sake,Those Tears Are for Tomorrow's Sake!,Watch Those Tears Are for Tomorrow's Sake!,those_tears_are_for_tomorrow_s_sake.png,69
blaze,BLAZE,Watch BLAZE,blaze.png,70
never_looking_back,Never Looking Back,Watch Never Looking Back,never_looking_back.png,71
winnin_5,WINnin' 5,Watch WINnin' 5,winnin_5.png,72
hoppity_sunny_days,Hoppity Sunny Days♪,Watch Hoppity Sunny Days♪,hoppity_sunny_days.png,73
transforming,Transforming,Watch Transforming,transforming.png,74
grow_up_and_shine,Grow Up and Shine!,Watch Grow Up and Shine!,grow_up_and_shine.png,75
blow_my_gale,Blow My Gale,Watch Blow My Gale,blow_my_gale.png,76
we_are_dreamers,We are DREAMERS!!,Watch We are DREAMERS!!,we_are_dreamers.png,77
precious_smiles_beyond_the_future,Precious Smiles (Beyond the Future!),Watch Precious Smiles (Beyond the Future!),precious_smiles_beyond_the_future.png,78
gaze_on_me,Gaze on Me!,Watch Gaze on Me!,gaze_on_me.png,79
girls_legend_u,Girls' Legend U,Watch Girls' Legend U,girls_legend_u.png,80
ms_victoria,Ms. Victoria,Watch Ms. Victoria,ms_victoria.png,81
superfan,Superfan,Watch 10 unique Winning Concerts,superfan.png,82
wallflower,Wallflower,Follow 25 trainers,wallflower.png,83
extrovert,Extrovert,Follow 50 trainers,extrovert.png,84
popular_kid,Popular Kid,Get 100 followers,popular_kid.png,85
idol,Idol,Get 200 followers,idol.png,86
influencer,Influencer,Have your Star Umamusume borrowed 100 times by other trainers in Career,influencer.png,87
socialite,Socialite,Share a Veteran Umamusume in your Club's chat,socialite.png,88
advisor,Advisor,Have your Veteran Umamusume be invited to a total of 10 practice races,advisor.png,89
most_wanted,Most Wanted,Have your Veteran Umamusume be invited to a total of 100 practice races,most_wanted.png,90
consultant,Consultant,Have your Veteran Umamusume be invited to a total of 500 practice races,consultant.png,91
professional_front_runner,Professional Front Runner,"Complete a Career playthrough with Concentration, Groundwork, Taking the Lead, and Unrestrained",professional_front_runner.png,92
professional_pace_chaser,Professional Pace Chaser,"Complete a Career playthrough with Speed Star, It's On!, and Pace Chaser Straightaways ◎",professional_pace_chaser.png,93
professional_late_surger,Professional Late Surger,"Complete a Career playthrough with On Your Left!, In Body and Mind, and Late Surger Straightaways ◎",professional_late_surger.png,94
professional_end_closer,Professional End Closer,"Complete a Career playthrough with Daring Strike, It's On!, and End Closer Straightaways ◎",professional_end_closer.png,95
professional_turner,Professional Turner,Complete a Career playthrough with Professor of Curvature and Corner Connoisseur,professional_turner.png,96
professional_straight_shot,Professional Straight-Shot,Complete a Career playthrough with Rushing Gale! and Beeline Burst,professional_straight_shot.png,97
gourmet,Gourmet,"Complete a Career playthrough with Gourmand, Stamina Eater, and Extra Tank",gourmet.png,98
all_seeing,All-Seeing,Complete a Career playthrough with All-Seeing Eyes and Clairvoyance,all_seeing.png,99
talent_takes_time,Talent Takes Time,"Complete a Career playthrough with No Stopping Me!, Shake It Out, and Lane Legerdemain",talent_takes_time.png,100
a_true_trainer,A True Trainer,Raise your Archive level to 100,a_true_trainer.png,101
diligent,Diligent,Complete all Daily Missions for seven days straight,diligent.png,102
title_collector,Title Collector,Obtain 100 Titles,title_collector.png,103
bargain_hunter,Bargain Hunter,Purchase items from the Daily Sale shop 100 times,bargain_hunter.png,104
strong_bond,Strong Bond,Raise an Umamusume's Bond Level to 10,strong_bond.png,105
tracen_s_beloved,Tracen's Beloved,Raise three Umamusume's Bond Levels to 10,tracen_s_beloved.png,106
junior_scout,Junior Scout,Add 15 Trainees to your roster,junior_scout.png,107
super_scout,Super Scout,Add 100 Trainees to your roster,super_scout.png,108
polished_talent,Polished Talent,Unlock 5★ for 10 Trainees,polished_talent.png,109
card_collector,Card Collector,Obtain 30 different Support Cards,card_collector.png,110
card_expert,Card Expert,Obtain 250 different Support Cards,card_expert.png,111
penny_pincher,Penny Pincher,"Accumulate 1,000,000 monies",penny_pincher.png,112
money_mogul,Money Mogul,"Accumulate 10,000,000 monies",money_mogul.png,113
story_lover,Story Lover,View 100 different stories,story_lover.png,114
set_off_for_the_brightest_star,Set Off for the Brightest Star,"View all of Main Story Act 1, Chapter 1",set_off_for_the_brightest_star.png,115
little_big_ambition,Little Big Ambition,"View all of Main Story Act 1, Chapter 2",little_big_ambition.png,116
embarking_on_the_dream_express,Embarking on the Dream Express,"View all of Main Story Act 1, Chapter 3",embarking_on_the_dream_express.png,117
roiling_craving,Roiling Craving,"View all of Main Story Act 1, Chapter 4",roiling_craving.png,118
scenery,Scenery,"View all of Main Story Act 1, Chapter 5",scenery.png,119
a_dream_in_the_making,A Dream in the Making,"View all of Main Story Act 1, Finale Part 1",a_dream_in_the_making.png,120
hope_shines_on,Hope Shines On,"View all of Main Story Act 1, Finale Part 2",hope_shines_on.png,121
team_sirius_s_guiding_light,Team Sirius's Guiding Light,View all of Main Story Act 1,team_sirius_s_guiding_light.png,122
special_week_new_fan,Special Week New Fan,View Episode 4 of Special Week's Umamusume Story,special_week_new_fan.png,123
special_week_fan_club,Special Week Fan Club,"Get 10,000,000 total fans for Special Week",special_week_fan_club.png,124
special_week_biggest_fan,Special Week Biggest Fan,"Get 50,000,000 total fans for Special Week",special_week_biggest_fan.png,125
special_week_expert,Special Week Expert,"Get 100,000,000 total fans for Special Week",special_week_expert.png,126
special_week_completionist,Special Week Completionist,Obtain all G1 to G3 trophies with Special Week,special_week_completionist.png,127
silence_suzuka_new_fan,Silence Suzuka New Fan,View Episode 4 of Silence Suzuka's Umamusume Story,silence_suzuka_new_fan.png,128
silence_suzuka_fan_club,Silence Suzuka Fan Club,"Get 10,000,000 total fans for Silence Suzuka",silence_suzuka_fan_club.png,129
silence_suzuka_biggest_fan,Silence Suzuka Biggest Fan,"Get 50,000,000 total fans for Silence Suzuka",silence_suzuka_biggest_fan.png,130
silence_suzuka_expert,Silence Suzuka Expert,"Get 100,000,000 total fans for Silence Suzuka",silence_suzuka_expert.png,131
silence_suzuka_completionist,Silence Suzuka Completionist,Obtain all G1 to G3 trophies with Silence Suzuka,silence_suzuka_completionist.png,132
tokai_teio_new_fan,Tokai Teio New Fan,View Episode 4 of Tokai Teio's Umamusume Story,tokai_teio_new_fan.png,133
tokai_teio_fan_club,Tokai Teio Fan Club,"Get 10,000,000 total fans for Tokai Teio",tokai_teio_fan_club.png,134
tokai_teio_biggest_fan,Tokai Teio Biggest Fan,"Get 50,000,000 total fans for Tokai Teio",tokai_teio_biggest_fan.png,135
tokai_teio_expert,Tokai Teio Expert,"Get 100,000,000 total fans for Tokai Teio",tokai_teio_expert.png,136
tokai_teio_completionist,Tokai Teio Completionist,Obtain all G1 to G3 trophies with Tokai Teio,tokai_teio_completionist.png,137
maruzensky_new_fan,Maruzensky New Fan,View Episode 4 of Maruzensky's Umamusume Story,maruzensky_new_fan.png,138
maruzensky_fan_club,Maruzensky Fan Club,"Get 10,000,000 total fans for Maruzensky",maruzensky_fan_club.png,139
maruzensky_biggest_fan,Maruzensky Biggest Fan,"Get 50,000,000 total fans for Maruzensky",maruzensky_biggest_fan.png,140
maruzensky_expert,Maruzensky Expert,"Get 100,000,000 total fans for Maruzensky",maruzensky_expert.png,141
maruzensky_completionist,Maruzensky Completionist,Obtain all G1 to G3 trophies with Maruzensky,maruzensky_completionist.png,142
fuji_kiseki_new_fan,Fuji Kiseki New Fan,View Episode 4 of Fuji Kiseki's Umamusume Story,fuji_kiseki_new_fan.png,143
fuji_kiseki_fan_club,Fuji Kiseki Fan Club,"Get 10,000,000 total fans for Fuji Kiseki",fuji_kiseki_fan_club.png,144
fuji_kiseki_biggest_fan,Fuji Kiseki Biggest Fan,"Get 50,000,000 total fans for Fuji Kiseki",fuji_kiseki_biggest_fan.png,145
fuji_kiseki_expert,Fuji Kiseki Expert,"Get 100,000,000 total fans for Fuji Kiseki",fuji_kiseki_expert.png,146
fuji_kiseki_completionist,Fuji Kiseki Completionist,Obtain all G1 to G3 trophies with Fuji Kiseki,fuji_kiseki_completionist.png,147
oguri_cap_new_fan,Oguri Cap New Fan,View Episode 4 of Oguri Cap's Umamusume Story,oguri_cap_new_fan.png,148
oguri_cap_fan_club,Oguri Cap Fan Club,"Get 10,000,000 total fans for Oguri Cap",oguri_cap_fan_club.png,149
oguri_cap_biggest_fan,Oguri Cap Biggest Fan,"Get 50,000,000 total fans for Oguri Cap",oguri_cap_biggest_fan.png,150
oguri_cap_expert,Oguri Cap Expert,"Get 100,000,000 total fans for Oguri Cap",oguri_cap_expert.png,151
oguri_cap_completionist,Oguri Cap Completionist,Obtain all G1 to G3 trophies with Oguri Cap,oguri_cap_completionist.png,152
gold_ship_new_fan,Gold Ship New Fan,View Episode 4 of Gold Ship's Umamusume Story,gold_ship_new_fan.png,153
gold_ship_fan_club,Gold Ship Fan Club,"Get 10,000,000 total fans for Gold Ship",gold_ship_fan_club.png,154
gold_ship_biggest_fan,Gold Ship Biggest Fan,"Get 50,000,000 total fans for Gold Ship",gold_ship_biggest_fan.png,155
gold_ship_expert,Gold Ship Expert,"Get 100,000,000 total fans for Gold Ship",gold_ship_expert.png,156
gold_ship_completionist,Gold Ship Completionist,Obtain all G1 to G3 trophies with Gold Ship,gold_ship_completionist.png,157
vodka_new_fan,Vodka New Fan,View Episode 4 of Vodka's Umamusume Story,vodka_new_fan.png,158
vodka_fan_club,Vodka Fan Club,"Get 10,000,000 total fans for Vodka",vodka_fan_club.png,159
vodka_biggest_fan,Vodka Biggest Fan,"Get 50,000,000 total fans for Vodka",vodka_biggest_fan.png,160
vodka_expert,Vodka Expert,"Get 100,000,000 total fans for Vodka",vodka_expert.png,161
vodka_completionist,Vodka Completionist,Obtain all G1 to G3 trophies with Vodka,vodka_completionist.png,162
daiwa_scarlet_new_fan,Daiwa Scarlet New Fan,View Episode 4 of Daiwa Scarlet's Umamusume Story,daiwa_scarlet_new_fan.png,163
daiwa_scarlet_fan_club,Daiwa Scarlet Fan Club,"Get 10,000,000 total fans for Daiwa Scarlet",daiwa_scarlet_fan_club.png,164
daiwa_scarlet_biggest_fan,Daiwa Scarlet Biggest Fan,"Get 50,000,000 total fans for Daiwa Scarlet",daiwa_scarlet_biggest_fan.png,165
daiwa_scarlet_expert,Daiwa Scarlet Expert,"Get 100,000,000 total fans for Daiwa Scarlet",daiwa_scarlet_expert.png,166
daiwa_scarlet_completionist,Daiwa Scarlet Completionist,Obtain all G1 to G3 trophies with Daiwa Scarlet,daiwa_scarlet_completionist.png,167
taiki_shuttle_new_fan,Taiki Shuttle New Fan,View Episode 4 of Taiki Shuttle's Umamusume Story,taiki_shuttle_new_fan.png,168
taiki_shuttle_fan_club,Taiki Shuttle Fan Club,"Get 10,000,000 total fans for Taiki Shuttle",taiki_shuttle_fan_club.png,169
taiki_shuttle_biggest_fan,Taiki Shuttle Biggest Fan,"Get 50,000,000 total fans for Taiki Shuttle",taiki_shuttle_biggest_fan.png,170
taiki_shuttle_expert,Taiki Shuttle Expert,"Get 100,000,000 total fans for Taiki Shuttle",taiki_shuttle_expert.png,171
taiki_shuttle_completionist,Taiki Shuttle Completionist,Obtain all G1 to G3 trophies with Taiki Shuttle,taiki_shuttle_completionist.png,172
grass_wonder_new_fan,Grass Wonder New Fan,View Episode 4 of Grass Wonder's Umamusume Story,grass_wonder_new_fan.png,173
grass_wonder_fan_club,Grass Wonder Fan Club,"Get 10,000,000 total fans for Grass Wonder",grass_wonder_fan_club.png,174
grass_wonder_biggest_fan,Grass Wonder Biggest Fan,"Get 50,000,000 total fans for Grass Wonder",grass_wonder_biggest_fan.png,175
grass_wonder_expert,Grass Wonder Expert,"Get 100,000,000 total fans for Grass Wonder",grass_wonder_expert.png,176
grass_wonder_completionist,Grass Wonder Completionist,Obtain all G1 to G3 trophies with Grass Wonder,grass_wonder_completionist.png,177
hishi_amazon_new_fan,Hishi Amazon New Fan,View Episode 4 of Hishi Amazon's Umamusume Story,hishi_amazon_new_fan.png,178
hishi_amazon_fan_club,Hishi Amazon Fan Club,"Get 10,000,000 total fans for Hishi Amazon",hishi_amazon_fan_club.png,179
hishi_amazon_biggest_fan,Hishi Amazon Biggest Fan,"Get 50,000,000 total fans for Hishi Amazon",hishi_amazon_biggest_fan.png,180
hishi_amazon_expert,Hishi Amazon Expert,"Get 100,000,000 total fans for Hishi Amazon",hishi_amazon_expert.png,181
hishi_amazon_completionist,Hishi Amazon Completionist,Obtain all G1 to G3 trophies with Hishi Amazon,hishi_amazon_completionist.png,182
mejiro_mcqueen_new_fan,Mejiro McQueen New Fan,View Episode 4 of Mejiro McQueen's Umamusume Story,mejiro_mcqueen_new_fan.png,183
mejiro_mcqueen_fan_club,Mejiro McQueen Fan Club,"Get 10,000,000 total fans for Mejiro McQueen",mejiro_mcqueen_fan_club.png,184
mejiro_mcqueen_biggest_fan,Mejiro McQueen Biggest Fan,"Get 50,000,000 total fans for Mejiro McQueen",mejiro_mcqueen_biggest_fan.png,185
mejiro_mcqueen_expert,Mejiro McQueen Expert,"Get 100,000,000 total fans for Mejiro McQueen",mejiro_mcqueen_expert.png,186
mejiro_mcqueen_completionist,Mejiro McQueen Completionist,Obtain all G1 to G3 trophies with Mejiro McQueen,mejiro_mcqueen_completionist.png,187
el_condor_pasa_new_fan,El Condor Pasa New Fan,View Episode 4 of El Condor Pasa's Umamusume Story,el_condor_pasa_new_fan.png,188
el_condor_pasa_fan_club,El Condor Pasa Fan Club,"Get 10,000,000 total fans for El Condor Pasa",el_condor_pasa_fan_club.png,189
el_condor_pasa_biggest_fan,El Condor Pasa Biggest Fan,"Get 50,000,000 total fans for El Condor Pasa",el_condor_pasa_biggest_fan.png,190
el_condor_pasa_expert,El Condor Pasa Expert,"Get 100,000,000 total fans for El Condor Pasa",el_condor_pasa_expert.png,191
el_condor_pasa_completionist,El Condor Pasa Completionist,Obtain all G1 to G3 trophies with El Condor Pasa,el_condor_pasa_completionist.png,192
t_m_opera_o_new_fan,T.M. Opera O New Fan,View Episode 4 of T.M. Opera O's Umamusume Story,t_m_opera_o_new_fan.png,193
t_m_opera_o_fan_club,T.M. Opera O Fan Club,"Get 10,000,000 total fans for T.M. Opera O",t_m_opera_o_fan_club.png,194
t_m_opera_o_biggest_fan,T.M. Opera O Biggest Fan,"Get 50,000,000 total fans for T.M. Opera O",t_m_opera_o_biggest_fan.png,195
t_m_opera_o_expert,T.M. Opera O Expert,"Get 100,000,000 total fans for T.M. Opera O",t_m_opera_o_expert.png,196
t_m_opera_o_completionist,T.M. Opera O Completionist,Obtain all G1 to G3 trophies with T.M. Opera O,t_m_opera_o_completionist.png,197
symboli_rudolf_new_fan,Symboli Rudolf New Fan,View Episode 4 of Symboli Rudolf's Umamusume Story,symboli_rudolf_new_fan.png,198
symboli_rudolf_fan_club,Symboli Rudolf Fan Club,"Get 10,000,000 total fans for Symboli Rudolf",symboli_rudolf_fan_club.png,199
symboli_rudolf_biggest_fan,Symboli Rudolf Biggest Fan,"Get 50,000,000 total fans for Symboli Rudolf",symboli_rudolf_biggest_fan.png,200
symboli_rudolf_expert,Symboli Rudolf Expert,"Get 100,000,000 total fans for Symboli Rudolf",symboli_rudolf_expert.png,201
symboli_rudolf_completionist,Symboli Rudolf Completionist,Obtain all G1 to G3 trophies with Symboli Rudolf,symboli_rudolf_completionist.png,202
air_groove_new_fan,Air Groove New Fan,View Episode 4 of Air Groove's Umamusume Story,air_groove_new_fan.png,203
air_groove_fan_club,Air Groove Fan Club,"Get 10,000,000 total fans for Air Groove",air_groove_fan_club.png,204
air_groove_biggest_fan,Air Groove Biggest Fan,"Get 50,000,000 total fans for Air Groove",air_groove_biggest_fan.png,205
air_groove_expert,Air Groove Expert,"Get 100,000,000 total fans for Air Groove",air_groove_expert.png,206
air_groove_completionist,Air Groove Completionist,Obtain all G1 to G3 trophies with Air Groove,air_groove_completionist.png,207
seiun_sky_new_fan,Seiun Sky New Fan,View Episode 4 of Seiun Sky's Umamusume Story,seiun_sky_new_fan.png,208
seiun_sky_fan_club,Seiun Sky Fan Club,"Get 10,000,000 total fans for Seiun Sky",seiun_sky_fan_club.png,209
seiun_sky_biggest_fan,Seiun Sky Biggest Fan,"Get 50,000,000 total fans for Seiun Sky",seiun_sky_biggest_fan.png,210
seiun_sky_expert,Seiun Sky Expert,"Get 100,000,000 total fans for Seiun Sky",seiun_sky_expert.png,211
seiun_sky_completionist,Seiun Sky Completionist,Obtain all G1 to G3 trophies with Seiun Sky,seiun_sky_completionist.png,212
mayano_top_gun_new_fan,Mayano Top Gun New Fan,View Episode 4 of Mayano Top Gun's Umamusume Story,mayano_top_gun_new_fan.png,213
mayano_top_gun_fan_club,Mayano Top Gun Fan Club,"Get 10,000,000 total fans for Mayano Top Gun",mayano_top_gun_fan_club.png,214
mayano_top_gun_biggest_fan,Mayano Top Gun Biggest Fan,"Get 50,000,000 total fans for Mayano Top Gun",mayano_top_gun_biggest_fan.png,215
mayano_top_gun_expert,Mayano Top Gun Expert,"Get 100,000,000 total fans for Mayano Top Gun",mayano_top_gun_expert.png,216
mayano_top_gun_completionist,Mayano Top Gun Completionist,Obtain all G1 to G3 trophies with Mayano Top Gun,mayano_top_gun_completionist.png,217
mejiro_ryan_new_fan,Mejiro Ryan New Fan,View Episode 4 of Mejiro Ryan's Umamusume Story,mejiro_ryan_new_fan.png,218
mejiro_ryan_fan_club,Mejiro Ryan Fan Club,"Get 10,000,000 total fans for Mejiro Ryan",mejiro_ryan_fan_club.png,219
mejiro_ryan_biggest_fan,Mejiro Ryan Biggest Fan,"Get 50,000,000 total fans for Mejiro Ryan",mejiro_ryan_biggest_fan.png,220
mejiro_ryan_expert,Mejiro Ryan Expert,"Get 100,000,000 total fans for Mejiro Ryan",mejiro_ryan_expert.png,221
mejiro_ryan_completionist,Mejiro Ryan Completionist,Obtain all G1 to G3 trophies with Mejiro Ryan,mejiro_ryan_completionist.png,222
rice_shower_new_fan,Rice Shower New Fan,View Episode 4 of Rice Shower's Umamusume Story,rice_shower_new_fan.png,223
rice_shower_fan_club,Rice Shower Fan Club,"Get 10,000,000 total fans for Rice Shower",rice_shower_fan_club.png,224
rice_shower_biggest_fan,Rice Shower Biggest Fan,"Get 50,000,000 total fans for Rice Shower",rice_shower_biggest_fan.png,225
rice_shower_expert,Rice Shower Expert,"Get 100,000,000 total fans for Rice Shower",rice_shower_expert.png,226
rice_shower_completionist,Rice Shower Completionist,Obtain all G1 to G3 trophies with Rice Shower,rice_shower_completionist.png,227
agnes_tachyon_new_fan,Agnes Tachyon New Fan,View Episode 4 of Agnes Tachyon's Umamusume Story,agnes_tachyon_new_fan.png,228
agnes_tachyon_fan_club,Agnes Tachyon Fan Club,"Get 10,000,000 total fans for Agnes Tachyon",agnes_tachyon_fan_club.png,229
agnes_tachyon_biggest_fan,Agnes Tachyon Biggest Fan,"Get 50,000,000 total fans for Agnes Tachyon",agnes_tachyon_biggest_fan.png,230
agnes_tachyon_expert,Agnes Tachyon Expert,"Get 100,000,000 total fans for Agnes Tachyon",agnes_tachyon_expert.png,231
agnes_tachyon_completionist,Agnes Tachyon Completionist,Obtain all G1 to G3 trophies with Agnes Tachyon,agnes_tachyon_completionist.png,232
winning_ticket_new_fan,Winning Ticket New Fan,View Episode 4 of Winning Ticket's Umamusume Story,winning_ticket_new_fan.png,233
winning_ticket_fan_club,Winning Ticket Fan Club,"Get 10,000,000 total fans for Winning Ticket",winning_ticket_fan_club.png,234
winning_ticket_biggest_fan,Winning Ticket Biggest Fan,"Get 50,000,000 total fans for Winning Ticket",winning_ticket_biggest_fan.png,235
winning_ticket_expert,Winning Ticket Expert,"Get 100,000,000 total fans for Winning Ticket",winning_ticket_expert.png,236
winning_ticket_completionist,Winning Ticket Completionist,Obtain all G1 to G3 trophies with Winning Ticket,winning_ticket_completionist.png,237
gold_city_new_fan,Gold City New Fan,View Episode 4 of Gold City's Umamusume Story,gold_city_new_fan.png,238
gold_city_fan_club,Gold City Fan Club,"Get 10,000,000 total fans for Gold City",gold_city_fan_club.png,239
gold_city_biggest_fan,Gold City Biggest Fan,"Get 50,000,000 total fans for Gold City",gold_city_biggest_fan.png,240
gold_city_expert,Gold City Expert,"Get 100,000,000 total fans for Gold City",gold_city_expert.png,241
gold_city_completionist,Gold City Completionist,Obtain all G1 to G3 trophies with Gold City,gold_city_completionist.png,242
sakura_bakushin_o_new_fan,Sakura Bakushin O New Fan,View Episode 4 of Sakura Bakushin O's Umamusume Story,sakura_bakushin_o_new_fan.png,243
sakura_bakushin_o_fan_club,Sakura Bakushin O Fan Club,"Get 10,000,000 total fans for Sakura Bakushin O",sakura_bakushin_o_fan_club.png,244
sakura_bakushin_o_biggest_fan,Sakura Bakushin O Biggest Fan,"Get 50,000,000 total fans for Sakura Bakushin O",sakura_bakushin_o_biggest_fan.png,245
sakura_bakushin_o_expert,Sakura Bakushin O Expert,"Get 100,000,000 total fans for Sakura Bakushin O",sakura_bakushin_o_expert.png,246
sakura_bakushin_o_completionist,Sakura Bakushin O Completionist,Obtain all G1 to G3 trophies with Sakura Bakushin O,sakura_bakushin_o_completionist.png,247
super_creek_new_fan,Super Creek New Fan,View Episode 4 of Super Creek's Umamusume Story,super_creek_new_fan.png,248
super_creek_fan_club,Super Creek Fan Club,"Get 10,000,000 total fans for Super Creek",super_creek_fan_club.png,249
super_creek_biggest_fan,Super Creek Biggest Fan,"Get 50,000,000 total fans for Super Creek",super_creek_biggest_fan.png,250
