race_slug,position,position_name,fans
andromeda_stakes,1,1st place,2600
andromeda_stakes,2,2nd place,1040
andromeda_stakes,3,3rd place,650
andromeda_stakes,4,4th place,390
andromeda_stakes,5,5th place,260
andromeda_stakes,6,6th place,234
andromeda_stakes,7,7th place,208
andromeda_stakes,8,8th place,182
andromeda_stakes,9,9th place,156
andromeda_stakes,10,10th place,130
andromeda_stakes,11,11th place,104
andromeda_stakes,12,12th place,78
andromeda_stakes,13,13th place,65
andromeda_stakes,14,14th place,52
andromeda_stakes,15,15th place,39
andromeda_stakes,16,16th place,26
andromeda_stakes,17,17th place,26
andromeda_stakes,18,18th place,26
anemone_stakes,1,1st place,2000
anemone_stakes,2,2nd place,800
anemone_stakes,3,3rd place,500
anemone_stakes,4,4th place,300
anemone_stakes,5,5th place,200
anemone_stakes,6,6th place,180
anemone_stakes,7,7th place,160
anemone_stakes,8,8th place,140
anemone_stakes,9,9th place,120
anemone_stakes,10,10th place,100
anemone_stakes,11,11th place,80
anemone_stakes,12,12th place,60
anemone_stakes,13,13th place,50
anemone_stakes,14,14th place,40
anemone_stakes,15,15th place,30
anemone_stakes,16,16th place,20
antares_stakes,1,1st place,3600
antares_stakes,2,2nd place,1440
antares_stakes,3,3rd place,900
antares_stakes,4,4th place,540
antares_stakes,5,5th place,360
antares_stakes,6,6th place,324
antares_stakes,7,7th place,288
antares_stakes,8,8th place,252
antares_stakes,9,9th place,216
antares_stakes,10,10th place,180
antares_stakes,11,11th place,144
antares_stakes,12,12th place,108
antares_stakes,13,13th place,90
antares_stakes,14,14th place,72
antares_stakes,15,15th place,54
antares_stakes,16,16th place,36
aoba_sho,1,1st place,5400
aoba_sho,2,2nd place,2160
aoba_sho,3,3rd place,1350
aoba_sho,4,4th place,810
aoba_sho,5,5th place,540
aoba_sho,6,6th place,486
aoba_sho,7,7th place,432
aoba_sho,8,8th place,378
aoba_sho,9,9th place,324
aoba_sho,10,10th place,270
aoba_sho,11,11th place,216
aoba_sho,12,12th place,162
aoba_sho,13,13th place,135
aoba_sho,14,14th place,108
aoba_sho,15,15th place,81
aoba_sho,16,16th place,54
aoba_sho,17,17th place,54
aoba_sho,18,18th place,54
aoi_stakes,1,1st place,3800
aoi_stakes,2,2nd place,1520
aoi_stakes,3,3rd place,950
aoi_stakes,4,4th place,570
aoi_stakes,5,5th place,380
aoi_stakes,6,6th place,342
aoi_stakes,7,7th place,304
aoi_stakes,8,8th place,266
aoi_stakes,9,9th place,228
aoi_stakes,10,10th place,190
aoi_stakes,11,11th place,152
aoi_stakes,12,12th place,114
aoi_stakes,13,13th place,95
aoi_stakes,14,14th place,76
aoi_stakes,15,15th place,57
aoi_stakes,16,16th place,38
aoi_stakes,17,17th place,38
aoi_stakes,18,18th place,38
arima_kinen,1,1st place,30000
arima_kinen,2,2nd place,12000
arima_kinen,3,3rd place,7500
arima_kinen,4,4th place,4500
arima_kinen,5,5th place,3000
arima_kinen,6,6th place,2700
arima_kinen,7,7th place,2400
arima_kinen,8,8th place,2100
arima_kinen,9,9th place,1800
arima_kinen,10,10th place,1500
arima_kinen,11,11th place,1200
arima_kinen,12,12th place,900
arima_kinen,13,13th place,750
arima_kinen,14,14th place,600
arima_kinen,15,15th place,450
arima_kinen,16,16th place,300
arlington_cup,1,1st place,3800
arlington_cup,2,2nd place,1520
arlington_cup,3,3rd place,950
arlington_cup,4,4th place,570
arlington_cup,5,5th place,380
arlington_cup,6,6th place,342
arlington_cup,7,7th place,304
arlington_cup,8,8th place,266
arlington_cup,9,9th place,228
arlington_cup,10,10th place,190
arlington_cup,11,11th place,152
arlington_cup,12,12th place,114
arlington_cup,13,13th place,95
arlington_cup,14,14th place,76
arlington_cup,15,15th place,57
arlington_cup,16,16th place,38
arlington_cup,17,17th place,38
arlington_cup,18,18th place,38
artemis_stakes,1,1st place,2900
artemis_stakes,2,2nd place,1160
artemis_stakes,3,3rd place,725
artemis_stakes,4,4th place,435
artemis_stakes,5,5th place,290
artemis_stakes,6,6th place,261
artemis_stakes,7,7th place,232
artemis_stakes,8,8th place,203
artemis_stakes,9,9th place,174
artemis_stakes,10,10th place,145
artemis_stakes,11,11th place,116
artemis_stakes,12,12th place,87
artemis_stakes,13,13th place,73
artemis_stakes,14,14th place,58
artemis_stakes,15,15th place,44
artemis_stakes,16,16th place,29
artemis_stakes,17,17th place,29
artemis_stakes,18,18th place,29
asahi_hai_futurity_stakes,1,1st place,7000
asahi_hai_futurity_stakes,2,2nd place,2800
asahi_hai_futurity_stakes,3,3rd place,1750
asahi_hai_futurity_stakes,4,4th place,1050
asahi_hai_futurity_stakes,5,5th place,700
asahi_hai_futurity_stakes,6,6th place,630
asahi_hai_futurity_stakes,7,7th place,560
asahi_hai_futurity_stakes,8,8th place,490
asahi_hai_futurity_stakes,9,9th place,420
asahi_hai_futurity_stakes,10,10th place,350
asahi_hai_futurity_stakes,11,11th place,280
asahi_hai_futurity_stakes,12,12th place,210
asahi_hai_futurity_stakes,13,13th place,175
asahi_hai_futurity_stakes,14,14th place,140
asahi_hai_futurity_stakes,15,15th place,105
asahi_hai_futurity_stakes,16,16th place,70
asahi_hai_futurity_stakes,17,17th place,70
asahi_hai_futurity_stakes,18,18th place,70
aso_stakes,1,1st place,2200
aso_stakes,2,2nd place,880
aso_stakes,3,3rd place,550
aso_stakes,4,4th place,330
aso_stakes,5,5th place,220
aso_stakes,6,6th place,198
aso_stakes,7,7th place,176
aso_stakes,8,8th place,154
aso_stakes,9,9th place,132
aso_stakes,10,10th place,110
aso_stakes,11,11th place,88
aso_stakes,12,12th place,66
aso_stakes,13,13th place,55
aso_stakes,14,14th place,44
aso_stakes,15,15th place,33
aso_stakes,16,16th place,22
aster_sho,1,1st place,1000
aster_sho,2,2nd place,400
aster_sho,3,3rd place,250
aster_sho,4,4th place,150
aster_sho,5,5th place,100
aster_sho,6,6th place,90
aster_sho,7,7th place,80
aster_sho,8,8th place,70
aster_sho,9,9th place,60
aster_sho,10,10th place,50
aster_sho,11,11th place,40
aster_sho,12,12th place,30
aster_sho,13,13th place,25
aster_sho,14,14th place,20
aster_sho,15,15th place,15
aster_sho,16,16th place,7
autumn_leaf_stakes,1,1st place,2200
autumn_leaf_stakes,2,2nd place,880
autumn_leaf_stakes,3,3rd place,550
autumn_leaf_stakes,4,4th place,330
autumn_leaf_stakes,5,5th place,220
autumn_leaf_stakes,6,6th place,198
autumn_leaf_stakes,7,7th place,176
autumn_leaf_stakes,8,8th place,154
autumn_leaf_stakes,9,9th place,132
autumn_leaf_stakes,10,10th place,110
autumn_leaf_stakes,11,11th place,88
autumn_leaf_stakes,12,12th place,66
autumn_leaf_stakes,13,13th place,55
autumn_leaf_stakes,14,14th place,44
autumn_leaf_stakes,15,15th place,33
autumn_leaf_stakes,16,16th place,22
azuchijo_stakes,1,1st place,2500
azuchijo_stakes,2,2nd place,1000
azuchijo_stakes,3,3rd place,625
azuchijo_stakes,4,4th place,375
azuchijo_stakes,5,5th place,250
azuchijo_stakes,6,6th place,225
azuchijo_stakes,7,7th place,200
azuchijo_stakes,8,8th place,175
azuchijo_stakes,9,9th place,150
azuchijo_stakes,10,10th place,125
azuchijo_stakes,11,11th place,100
azuchijo_stakes,12,12th place,75
azuchijo_stakes,13,13th place,63
azuchijo_stakes,14,14th place,50
azuchijo_stakes,15,15th place,38
azuchijo_stakes,16,16th place,25
azuchijo_stakes,17,17th place,25
azuchijo_stakes,18,18th place,25
azumakofuji_stakes,1,1st place,2200
azumakofuji_stakes,2,2nd place,880
azumakofuji_stakes,3,3rd place,550
azumakofuji_stakes,4,4th place,330
azumakofuji_stakes,5,5th place,220
azumakofuji_stakes,6,6th place,198
azumakofuji_stakes,7,7th place,176
azumakofuji_stakes,8,8th place,154
azumakofuji_stakes,9,9th place,132
azumakofuji_stakes,10,10th place,110
azumakofuji_stakes,11,11th place,88
azumakofuji_stakes,12,12th place,66
azumakofuji_stakes,13,13th place,55
azumakofuji_stakes,14,14th place,44
azumakofuji_stakes,15,15th place,33
begonia_sho,1,1st place,1000
begonia_sho,2,2nd place,400
begonia_sho,3,3rd place,250
begonia_sho,4,4th place,150
begonia_sho,5,5th place,100
begonia_sho,6,6th place,90
begonia_sho,7,7th place,80
begonia_sho,8,8th place,70
begonia_sho,9,9th place,60
begonia_sho,10,10th place,50
begonia_sho,11,11th place,40
begonia_sho,12,12th place,30
begonia_sho,13,13th place,25
begonia_sho,14,14th place,20
begonia_sho,15,15th place,15
begonia_sho,16,16th place,7
begonia_sho,17,17th place,7
begonia_sho,18,18th place,7
betelgeuse_stakes,1,1st place,2200
betelgeuse_stakes,2,2nd place,880
betelgeuse_stakes,3,3rd place,550
betelgeuse_stakes,4,4th place,330
betelgeuse_stakes,5,5th place,220
betelgeuse_stakes,6,6th place,198
betelgeuse_stakes,7,7th place,176
betelgeuse_stakes,8,8th place,154
betelgeuse_stakes,9,9th place,132
betelgeuse_stakes,10,10th place,110
betelgeuse_stakes,11,11th place,88
betelgeuse_stakes,12,12th place,66
betelgeuse_stakes,13,13th place,55
betelgeuse_stakes,14,14th place,44
betelgeuse_stakes,15,15th place,33
betelgeuse_stakes,16,16th place,22
brazil_cup,1,1st place,2300
brazil_cup,2,2nd place,920
brazil_cup,3,3rd place,575
brazil_cup,4,4th place,345
brazil_cup,5,5th place,230
brazil_cup,6,6th place,207
brazil_cup,7,7th place,184
brazil_cup,8,8th place,161
brazil_cup,9,9th place,138
brazil_cup,10,10th place,115
brazil_cup,11,11th place,92
brazil_cup,12,12th place,69
brazil_cup,13,13th place,58
brazil_cup,14,14th place,46
brazil_cup,15,15th place,35
brazil_cup,16,16th place,23
brilliant_stakes,1,1st place,2300
brilliant_stakes,2,2nd place,920
brilliant_stakes,3,3rd place,575
brilliant_stakes,4,4th place,345
brilliant_stakes,5,5th place,230
brilliant_stakes,6,6th place,207
brilliant_stakes,7,7th place,184
brilliant_stakes,8,8th place,161
brilliant_stakes,9,9th place,138
brilliant_stakes,10,10th place,115
brilliant_stakes,11,11th place,92
brilliant_stakes,12,12th place,69
brilliant_stakes,13,13th place,58
brilliant_stakes,14,14th place,46
brilliant_stakes,15,15th place,35
brilliant_stakes,16,16th place,23
bsn_sho,1,1st place,2300
bsn_sho,2,2nd place,920
bsn_sho,3,3rd place,575
bsn_sho,4,4th place,345
bsn_sho,5,5th place,230
bsn_sho,6,6th place,207
bsn_sho,7,7th place,184
bsn_sho,8,8th place,161
bsn_sho,9,9th place,138
bsn_sho,10,10th place,115
bsn_sho,11,11th place,92
bsn_sho,12,12th place,69
bsn_sho,13,13th place,58
bsn_sho,14,14th place,46
bsn_sho,15,15th place,35
canna_stakes,1,1st place,1600
canna_stakes,2,2nd place,640
canna_stakes,3,3rd place,400
canna_stakes,4,4th place,240
canna_stakes,5,5th place,160
canna_stakes,6,6th place,144
canna_stakes,7,7th place,128
canna_stakes,8,8th place,112
canna_stakes,9,9th place,96
canna_stakes,10,10th place,80
canna_stakes,11,11th place,64
canna_stakes,12,12th place,48
canna_stakes,13,13th place,40
canna_stakes,14,14th place,32
canna_stakes,15,15th place,24
canna_stakes,16,16th place,16
capella_stakes,1,1st place,3600
capella_stakes,2,2nd place,1440
capella_stakes,3,3rd place,900
capella_stakes,4,4th place,540
capella_stakes,5,5th place,360
capella_stakes,6,6th place,324
capella_stakes,7,7th place,288
capella_stakes,8,8th place,252
capella_stakes,9,9th place,216
capella_stakes,10,10th place,180
capella_stakes,11,11th place,144
capella_stakes,12,12th place,108
capella_stakes,13,13th place,90
capella_stakes,14,14th place,72
capella_stakes,15,15th place,54
capella_stakes,16,16th place,36
capital_stakes,1,1st place,2500
capital_stakes,2,2nd place,1000
capital_stakes,3,3rd place,625
capital_stakes,4,4th place,375
capital_stakes,5,5th place,250
capital_stakes,6,6th place,225
capital_stakes,7,7th place,200
capital_stakes,8,8th place,175
capital_stakes,9,9th place,150
capital_stakes,10,10th place,125
capital_stakes,11,11th place,100
capital_stakes,12,12th place,75
capital_stakes,13,13th place,63
capital_stakes,14,14th place,50
capital_stakes,15,15th place,38
capital_stakes,16,16th place,25
capital_stakes,17,17th place,25
capital_stakes,18,18th place,25
carbuncle_stakes,1,1st place,2300
carbuncle_stakes,2,2nd place,920
carbuncle_stakes,3,3rd place,575
carbuncle_stakes,4,4th place,345
carbuncle_stakes,5,5th place,230
carbuncle_stakes,6,6th place,207
carbuncle_stakes,7,7th place,184
carbuncle_stakes,8,8th place,161
carbuncle_stakes,9,9th place,138
carbuncle_stakes,10,10th place,115
carbuncle_stakes,11,11th place,92
carbuncle_stakes,12,12th place,69
carbuncle_stakes,13,13th place,58
carbuncle_stakes,14,14th place,46
carbuncle_stakes,15,15th place,35
carbuncle_stakes,16,16th place,23
cassiopeia_stakes,1,1st place,2600
cassiopeia_stakes,2,2nd place,1040
cassiopeia_stakes,3,3rd place,650
cassiopeia_stakes,4,4th place,390
cassiopeia_stakes,5,5th place,260
cassiopeia_stakes,6,6th place,234
cassiopeia_stakes,7,7th place,208
cassiopeia_stakes,8,8th place,182
cassiopeia_stakes,9,9th place,156
cassiopeia_stakes,10,10th place,130
cassiopeia_stakes,11,11th place,104
cassiopeia_stakes,12,12th place,78
cassiopeia_stakes,13,13th place,65
cassiopeia_stakes,14,14th place,52
cassiopeia_stakes,15,15th place,39
cassiopeia_stakes,16,16th place,26
cassiopeia_stakes,17,17th place,26
cassiopeia_stakes,18,18th place,26
cattleya_sho,1,1st place,1000
cattleya_sho,2,2nd place,400
cattleya_sho,3,3rd place,250
cattleya_sho,4,4th place,150
cattleya_sho,5,5th place,100
cattleya_sho,6,6th place,90
cattleya_sho,7,7th place,80
cattleya_sho,8,8th place,70
cattleya_sho,9,9th place,60
cattleya_sho,10,10th place,50
cattleya_sho,11,11th place,40
cattleya_sho,12,12th place,30
cattleya_sho,13,13th place,25
cattleya_sho,14,14th place,20
cattleya_sho,15,15th place,15
cattleya_sho,16,16th place,5
cbc_sho,1,1st place,3900
cbc_sho,2,2nd place,1560
cbc_sho,3,3rd place,975
cbc_sho,4,4th place,585
cbc_sho,5,5th place,390
cbc_sho,6,6th place,351
cbc_sho,7,7th place,312
cbc_sho,8,8th place,273
cbc_sho,9,9th place,234
cbc_sho,10,10th place,195
cbc_sho,11,11th place,156
cbc_sho,12,12th place,117
cbc_sho,13,13th place,98
cbc_sho,14,14th place,78
cbc_sho,15,15th place,59
cbc_sho,16,16th place,39
cbc_sho,17,17th place,39
cbc_sho,18,18th place,39
centaur_stakes,1,1st place,5900
centaur_stakes,2,2nd place,2360
centaur_stakes,3,3rd place,1475
centaur_stakes,4,4th place,885
centaur_stakes,5,5th place,590
centaur_stakes,6,6th place,531
centaur_stakes,7,7th place,472
centaur_stakes,8,8th place,413
centaur_stakes,9,9th place,354
centaur_stakes,10,10th place,295
centaur_stakes,11,11th place,236
centaur_stakes,12,12th place,177
centaur_stakes,13,13th place,148
centaur_stakes,14,14th place,118
centaur_stakes,15,15th place,89
centaur_stakes,16,16th place,59
challenge_cup,1,1st place,4100
challenge_cup,2,2nd place,1640
challenge_cup,3,3rd place,1025
challenge_cup,4,4th place,615
challenge_cup,5,5th place,410
challenge_cup,6,6th place,369
challenge_cup,7,7th place,328
challenge_cup,8,8th place,287
challenge_cup,9,9th place,246
challenge_cup,10,10th place,205
challenge_cup,11,11th place,164
challenge_cup,12,12th place,123
challenge_cup,13,13th place,103
challenge_cup,14,14th place,82
challenge_cup,15,15th place,62
challenge_cup,16,16th place,41
champions_cup,1,1st place,10000
champions_cup,2,2nd place,4000
champions_cup,3,3rd place,2500
champions_cup,4,4th place,1500
champions_cup,5,5th place,1000
champions_cup,6,6th place,900
champions_cup,7,7th place,800
champions_cup,8,8th place,700
champions_cup,9,9th place,600
champions_cup,10,10th place,500
champions_cup,11,11th place,400
champions_cup,12,12th place,300
champions_cup,13,13th place,250
champions_cup,14,14th place,200
champions_cup,15,15th place,150
champions_cup,16,16th place,100
chiba_stakes,1,1st place,2200
chiba_stakes,2,2nd place,880
chiba_stakes,3,3rd place,550
chiba_stakes,4,4th place,330
chiba_stakes,5,5th place,220
chiba_stakes,6,6th place,198
chiba_stakes,7,7th place,176
chiba_stakes,8,8th place,154
chiba_stakes,9,9th place,132
chiba_stakes,10,10th place,110
chiba_stakes,11,11th place,88
chiba_stakes,12,12th place,66
chiba_stakes,13,13th place,55
chiba_stakes,14,14th place,44
chiba_stakes,15,15th place,33
chiba_stakes,16,16th place,22
christmas_rose_stakes,1,1st place,1600
christmas_rose_stakes,2,2nd place,640
christmas_rose_stakes,3,3rd place,400
christmas_rose_stakes,4,4th place,240
christmas_rose_stakes,5,5th place,160
christmas_rose_stakes,6,6th place,144
christmas_rose_stakes,7,7th place,128
christmas_rose_stakes,8,8th place,112
christmas_rose_stakes,9,9th place,96
christmas_rose_stakes,10,10th place,80
christmas_rose_stakes,11,11th place,64
christmas_rose_stakes,12,12th place,48
christmas_rose_stakes,13,13th place,40
christmas_rose_stakes,14,14th place,32
christmas_rose_stakes,15,15th place,24
christmas_rose_stakes,16,16th place,16
chukyo_junior_stakes,1,1st place,1600
chukyo_junior_stakes,2,2nd place,640
chukyo_junior_stakes,3,3rd place,400
chukyo_junior_stakes,4,4th place,240
chukyo_junior_stakes,5,5th place,160
chukyo_junior_stakes,6,6th place,144
chukyo_junior_stakes,7,7th place,128
chukyo_junior_stakes,8,8th place,112
chukyo_junior_stakes,9,9th place,96
chukyo_junior_stakes,10,10th place,80
chukyo_junior_stakes,11,11th place,64
chukyo_junior_stakes,12,12th place,48
chukyo_junior_stakes,13,13th place,40
chukyo_junior_stakes,14,14th place,32
chukyo_junior_stakes,15,15th place,24
chukyo_junior_stakes,16,16th place,16
chukyo_kinen,1,1st place,3900
chukyo_kinen,2,2nd place,1560
chukyo_kinen,3,3rd place,975
chukyo_kinen,4,4th place,585
chukyo_kinen,5,5th place,390
chukyo_kinen,6,6th place,351
chukyo_kinen,7,7th place,312
chukyo_kinen,8,8th place,273
chukyo_kinen,9,9th place,234
chukyo_kinen,10,10th place,195
chukyo_kinen,11,11th place,156
chukyo_kinen,12,12th place,117
chukyo_kinen,13,13th place,98
chukyo_kinen,14,14th place,78
chukyo_kinen,15,15th place,59
chukyo_kinen,16,16th place,39
chunichi_shimbun_hai,1,1st place,4100
chunichi_shimbun_hai,2,2nd place,1640
chunichi_shimbun_hai,3,3rd place,1025
chunichi_shimbun_hai,4,4th place,615
chunichi_shimbun_hai,5,5th place,410
chunichi_shimbun_hai,6,6th place,369
chunichi_shimbun_hai,7,7th place,328
chunichi_shimbun_hai,8,8th place,287
chunichi_shimbun_hai,9,9th place,246
chunichi_shimbun_hai,10,10th place,205
chunichi_shimbun_hai,11,11th place,164
chunichi_shimbun_hai,12,12th place,123
chunichi_shimbun_hai,13,13th place,103
chunichi_shimbun_hai,14,14th place,82
chunichi_shimbun_hai,15,15th place,62
chunichi_shimbun_hai,16,16th place,41
chunichi_shimbun_hai,17,17th place,41
chunichi_shimbun_hai,18,18th place,41
clover_sho,1,1st place,1600
clover_sho,2,2nd place,640
clover_sho,3,3rd place,400
clover_sho,4,4th place,240
clover_sho,5,5th place,160
clover_sho,6,6th place,144
clover_sho,7,7th place,128
clover_sho,8,8th place,112
clover_sho,9,9th place,96
clover_sho,10,10th place,80
clover_sho,11,11th place,64
clover_sho,12,12th place,48
clover_sho,13,13th place,40
clover_sho,14,14th place,32
cluster_cup,1,1st place,2300
cluster_cup,2,2nd place,920
cluster_cup,3,3rd place,575
cluster_cup,4,4th place,345
cluster_cup,5,5th place,230
cluster_cup,6,6th place,207
cluster_cup,7,7th place,184
cluster_cup,8,8th place,161
cluster_cup,9,9th place,138
cluster_cup,10,10th place,115
cluster_cup,11,11th place,92
cluster_cup,12,12th place,69
cluster_cup,13,13th place,58
cluster_cup,14,14th place,46
copa_republica_argentina,1,1st place,5700
copa_republica_argentina,2,2nd place,2280
copa_republica_argentina,3,3rd place,1425
copa_republica_argentina,4,4th place,855
copa_republica_argentina,5,5th place,570
copa_republica_argentina,6,6th place,513
copa_republica_argentina,7,7th place,456
copa_republica_argentina,8,8th place,399
copa_republica_argentina,9,9th place,342
copa_republica_argentina,10,10th place,285
copa_republica_argentina,11,11th place,228
copa_republica_argentina,12,12th place,171
copa_republica_argentina,13,13th place,143
copa_republica_argentina,14,14th place,114
copa_republica_argentina,15,15th place,86
copa_republica_argentina,16,16th place,57
copa_republica_argentina,17,17th place,57
copa_republica_argentina,18,18th place,57
coral_stakes,1,1st place,2300
coral_stakes,2,2nd place,920
coral_stakes,3,3rd place,575
coral_stakes,4,4th place,345
coral_stakes,5,5th place,230
coral_stakes,6,6th place,207
coral_stakes,7,7th place,184
coral_stakes,8,8th place,161
coral_stakes,9,9th place,138
coral_stakes,10,10th place,115
coral_stakes,11,11th place,92
coral_stakes,12,12th place,69
coral_stakes,13,13th place,58
coral_stakes,14,14th place,46
coral_stakes,15,15th place,35
coral_stakes,16,16th place,23
cosmos_sho,1,1st place,1600
cosmos_sho,2,2nd place,640
cosmos_sho,3,3rd place,400
cosmos_sho,4,4th place,240
cosmos_sho,5,5th place,160
cosmos_sho,6,6th place,144
cosmos_sho,7,7th place,128
cosmos_sho,8,8th place,112
cosmos_sho,9,9th place,96
cosmos_sho,10,10th place,80
cosmos_sho,11,11th place,64
cosmos_sho,12,12th place,48
cosmos_sho,13,13th place,40
cosmos_sho,14,14th place,32
crocus_stakes,1,1st place,2000
crocus_stakes,2,2nd place,800
crocus_stakes,3,3rd place,500
crocus_stakes,4,4th place,300
crocus_stakes,5,5th place,200
crocus_stakes,6,6th place,180
crocus_stakes,7,7th place,160
crocus_stakes,8,8th place,140
crocus_stakes,9,9th place,120
crocus_stakes,10,10th place,100
crocus_stakes,11,11th place,80
crocus_stakes,12,12th place,60
crocus_stakes,13,13th place,50
crocus_stakes,14,14th place,40
crocus_stakes,15,15th place,30
crocus_stakes,16,16th place,20
crocus_stakes,17,17th place,20
crocus_stakes,18,18th place,20
dahlia_sho,1,1st place,1600
dahlia_sho,2,2nd place,640
dahlia_sho,3,3rd place,400
dahlia_sho,4,4th place,240
dahlia_sho,5,5th place,160
dahlia_sho,6,6th place,144
dahlia_sho,7,7th place,128
dahlia_sho,8,8th place,112
dahlia_sho,9,9th place,96
dahlia_sho,10,10th place,80
dahlia_sho,11,11th place,64
dahlia_sho,12,12th place,48
dahlia_sho,13,13th place,40
dahlia_sho,14,14th place,32
dahlia_sho,15,15th place,24
dahlia_sho,16,16th place,16
daily_hai_junior_stakes,1,1st place,3800
daily_hai_junior_stakes,2,2nd place,1520
daily_hai_junior_stakes,3,3rd place,950
daily_hai_junior_stakes,4,4th place,570
daily_hai_junior_stakes,5,5th place,380
daily_hai_junior_stakes,6,6th place,342
daily_hai_junior_stakes,7,7th place,304
daily_hai_junior_stakes,8,8th place,266
daily_hai_junior_stakes,9,9th place,228
daily_hai_junior_stakes,10,10th place,190
daily_hai_junior_stakes,11,11th place,152
daily_hai_junior_stakes,12,12th place,114
daily_hai_junior_stakes,13,13th place,95
daily_hai_junior_stakes,14,14th place,76
daily_hai_junior_stakes,15,15th place,57
daily_hai_junior_stakes,16,16th place,38
daily_hai_junior_stakes,17,17th place,38
daily_hai_junior_stakes,18,18th place,38
december_stakes,1,1st place,2600
december_stakes,2,2nd place,1040
december_stakes,3,3rd place,650
december_stakes,4,4th place,390
december_stakes,5,5th place,260
december_stakes,6,6th place,234
december_stakes,7,7th place,208
december_stakes,8,8th place,182
december_stakes,9,9th place,156
december_stakes,10,10th place,130
december_stakes,11,11th place,104
december_stakes,12,12th place,78
december_stakes,13,13th place,65
december_stakes,14,14th place,52
december_stakes,15,15th place,39
december_stakes,16,16th place,26
diamond_stakes,1,1st place,4100
diamond_stakes,2,2nd place,1640
diamond_stakes,3,3rd place,1025
diamond_stakes,4,4th place,615
diamond_stakes,5,5th place,410
diamond_stakes,6,6th place,369
diamond_stakes,7,7th place,328
diamond_stakes,8,8th place,287
diamond_stakes,9,9th place,246
diamond_stakes,10,10th place,205
diamond_stakes,11,11th place,164
diamond_stakes,12,12th place,123
diamond_stakes,13,13th place,103
diamond_stakes,14,14th place,82
diamond_stakes,15,15th place,62
diamond_stakes,16,16th place,1
diamond_stakes,17,17th place,1
diamond_stakes,18,18th place,1
diolite_kinen,1,1st place,3200
diolite_kinen,2,2nd place,1280
diolite_kinen,3,3rd place,800
diolite_kinen,4,4th place,480
